Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
KALI,MCA_0,0,441,5633.0,2,,
PICT,MCA_0,0,441,113.0,2,,
ACTS,MCA_0,0,671,68.0,2,,
pMEDICI+,MCA_0,0,441,692.0,2,AS_DECLARED,
pMEDICI+,MCA_0,0,441,267.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,441,232.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,441,247.0,2,RANDOM,
PICT,MCA_0,10,427,94.0,2,,
ACTS,MCA_0,10,627,11.0,2,,
pMEDICI+,MCA_0,10,437,221.0,2,AS_DECLARED,
pMEDICI+,MCA_0,10,429,204.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,10,439,191.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,10,434,205.0,2,RANDOM,
PICT,MCA_0,20,386,83.0,2,,
ACTS,MCA_0,20,548,10.0,2,,
pMEDICI+,MCA_0,20,408,177.0,2,AS_DECLARED,
pMEDICI+,MCA_0,20,391,215.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,20,429,177.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,20,418,186.0,2,RANDOM,
PICT,MCA_0,30,342,87.0,2,,
ACTS,MCA_0,30,453,10.0,2,,
pMEDICI+,MCA_0,30,380,191.0,2,AS_DECLARED,
pMEDICI+,MCA_0,30,367,213.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,30,425,188.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,30,380,157.0,2,RANDOM,
PICT,MCA_0,40,297,87.0,2,,
ACTS,MCA_0,40,364,7.0,2,,
pMEDICI+,MCA_0,40,354,146.0,2,AS_DECLARED,
pMEDICI+,MCA_0,40,323,168.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,40,397,150.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,40,335,180.0,2,RANDOM,
PICT,MCA_0,50,268,81.0,2,,
ACTS,MCA_0,50,297,5.0,2,,
pMEDICI+,MCA_0,50,331,153.0,2,AS_DECLARED,
pMEDICI+,MCA_0,50,313,152.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,50,385,136.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,50,318,154.0,2,RANDOM,
PICT,MCA_0,60,257,78.0,2,,
ACTS,MCA_0,60,257,5.0,2,,
pMEDICI+,MCA_0,60,327,139.0,2,AS_DECLARED,
pMEDICI+,MCA_0,60,308,171.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,60,379,154.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,60,341,150.0,2,RANDOM,
PICT,MCA_0,70,257,75.0,2,,
ACTS,MCA_0,70,239,4.0,2,,
pMEDICI+,MCA_0,70,319,137.0,2,AS_DECLARED,
