Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
pMEDICI,BOOLC_7,0,28,161.0,2,,
PICT w SEEDS,BOOLC_7,0,11,29.0,3,,
PICT,BOOLC_7,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_7,0,22,194.0,3,,
ACTS,BOOLC_7,100,22,18.0,3,,
pMEDICI+,BOOLC_7,0,36,63.0,3,AS_DECLARED,
pMEDICI,BOOLC_7,100,30,80.0,3,AS_DECLARED,
pMEDICI+,BOOLC_7,0,34,22.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_7,100,37,57.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_7,0,36,15.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_7,100,34,63.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_7,0,35,20.0,3,RANDOM,
pMEDICI,BOOLC_7,100,33,56.0,3,RANDOM,
pMEDICI,BOOLC_7,0,25,39.0,2,,
PICT w SEEDS,BOOLC_7,0,14,10.0,3,,
PICT,BOOLC_7,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_7,0,22,19.0,3,,
ACTS,BOOLC_7,100,22,23.0,3,,
pMEDICI+,BOOLC_7,0,31,14.0,3,AS_DECLARED,
pMEDICI,BOOLC_7,100,32,49.0,3,AS_DECLARED,
pMEDICI+,BOOLC_7,0,32,14.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_7,100,41,42.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_7,0,34,13.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_7,100,35,38.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_7,0,30,13.0,3,RANDOM,
pMEDICI,BOOLC_7,100,27,40.0,3,RANDOM,
pMEDICI,BOOLC_7,0,24,37.0,2,,
PICT w SEEDS,BOOLC_7,0,13,8.0,3,,
PICT,BOOLC_7,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_7,0,22,13.0,3,,
ACTS,BOOLC_7,100,22,14.0,3,,
pMEDICI+,BOOLC_7,0,34,15.0,3,AS_DECLARED,
pMEDICI,BOOLC_7,100,31,35.0,3,AS_DECLARED,
pMEDICI+,BOOLC_7,0,32,16.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_7,100,37,44.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_7,0,34,13.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_7,100,37,49.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_7,0,32,13.0,3,RANDOM,
pMEDICI,BOOLC_7,100,29,44.0,3,RANDOM,
pMEDICI,BOOLC_7,0,18,28.0,2,,
PICT w SEEDS,BOOLC_7,0,9,8.0,3,,
PICT,BOOLC_7,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_7,0,22,15.0,3,,
ACTS,BOOLC_7,100,22,15.0,3,,
pMEDICI+,BOOLC_7,0,31,12.0,3,AS_DECLARED,
pMEDICI,BOOLC_7,100,33,37.0,3,AS_DECLARED,
pMEDICI+,BOOLC_7,0,29,11.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_7,100,33,35.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_7,0,32,11.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_7,100,37,40.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_7,0,32,14.0,3,RANDOM,
pMEDICI,BOOLC_7,100,29,38.0,3,RANDOM,
pMEDICI,BOOLC_7,0,18,30.0,2,,
PICT w SEEDS,BOOLC_7,0,13,8.0,3,,
PICT,BOOLC_7,100,0,-1.0,3,,
ACTS w SEEDS,BOOLC_7,0,22,15.0,3,,
ACTS,BOOLC_7,100,22,17.0,3,,
pMEDICI+,BOOLC_7,0,28,18.0,3,AS_DECLARED,
pMEDICI,BOOLC_7,100,32,36.0,3,AS_DECLARED,
pMEDICI+,BOOLC_7,0,27,13.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_7,100,38,39.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_7,0,27,10.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_7,100,32,41.0,3,IN_ORDER_SIZE_ASC,
