Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,MCA_0,0,230,47.0,2,,
PICT w SEEDS,MCA_0,0,230,95.0,3,,
PICT,MCA_0,100,253,122.0,3,,
ACTS w SEEDS,MCA_0,0,3409,354.0,3,,
ACTS,MCA_0,100,3409,241.0,3,,
pMEDICI+,MCA_0,0,4927,56265.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4920,75505.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4338,71599.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4396,95307.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5624,54800.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5621,78304.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,5306,60359.0,3,RANDOM,
pMEDICI,MCA_0,100,4954,77054.0,3,RANDOM,
ACTS,MCA_0,0,230,8.0,2,,
PICT w SEEDS,MCA_0,0,230,85.0,3,,
PICT,MCA_0,100,253,81.0,3,,
ACTS w SEEDS,MCA_0,0,3409,185.0,3,,
ACTS,MCA_0,100,3409,163.0,3,,
pMEDICI+,MCA_0,0,4939,59581.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4920,76168.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4364,70410.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4392,94605.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5640,55349.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5626,78633.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,4955,62988.0,3,RANDOM,
pMEDICI,MCA_0,100,4506,73351.0,3,RANDOM,
ACTS,MCA_0,0,230,4.0,2,,
PICT w SEEDS,MCA_0,0,230,73.0,3,,
PICT,MCA_0,100,253,77.0,3,,
ACTS w SEEDS,MCA_0,0,3409,159.0,3,,
ACTS,MCA_0,100,3409,161.0,3,,
pMEDICI+,MCA_0,0,4939,59399.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4913,75776.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4327,70192.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4403,94239.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5649,56001.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5636,78521.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,5269,61784.0,3,RANDOM,
pMEDICI,MCA_0,100,5132,88114.0,3,RANDOM,
ACTS,MCA_0,0,230,4.0,2,,
PICT w SEEDS,MCA_0,0,230,62.0,3,,
PICT,MCA_0,100,253,75.0,3,,
ACTS w SEEDS,MCA_0,0,3409,158.0,3,,
ACTS,MCA_0,100,3409,158.0,3,,
pMEDICI+,MCA_0,0,4930,59339.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4923,76936.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4323,69361.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4416,95324.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5659,54953.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5622,78785.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,5204,58474.0,3,RANDOM,
pMEDICI,MCA_0,100,4779,78393.0,3,RANDOM,
ACTS,MCA_0,0,230,3.0,2,,
PICT w SEEDS,MCA_0,0,230,73.0,3,,
PICT,MCA_0,100,253,84.0,3,,
ACTS w SEEDS,MCA_0,0,3409,159.0,3,,
ACTS,MCA_0,100,3409,159.0,3,,
pMEDICI+,MCA_0,0,4954,58298.0,3,AS_DECLARED,
pMEDICI,MCA_0,100,4926,75567.0,3,AS_DECLARED,
pMEDICI+,MCA_0,0,4365,70857.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,100,4405,94038.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,5631,56057.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,100,5588,77392.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,4954,60705.0,3,RANDOM,
pMEDICI,MCA_0,100,5058,88984.0,3,RANDOM,
ACTS,MCA_1,0,130,0.0,2,,
PICT w SEEDS,MCA_1,0,130,40.0,3,,
PICT,MCA_1,100,130,37.0,3,,
ACTS w SEEDS,MCA_1,0,260,1.0,3,,
ACTS,MCA_1,100,260,1.0,3,,
pMEDICI+,MCA_1,0,288,71.0,3,AS_DECLARED,
pMEDICI,MCA_1,100,290,100.0,3,AS_DECLARED,
pMEDICI+,MCA_1,0,270,65.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_1,100,264,103.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_1,0,286,72.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_1,100,292,99.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_1,0,282,68.0,3,RANDOM,
pMEDICI,MCA_1,100,269,103.0,3,RANDOM,
ACTS,MCA_1,0,130,0.0,2,,
PICT w SEEDS,MCA_1,0,130,32.0,3,,
PICT,MCA_1,100,130,30.0,3,,
ACTS w SEEDS,MCA_1,0,260,1.0,3,,
ACTS,MCA_1,100,260,1.0,3,,
pMEDICI+,MCA_1,0,285,69.0,3,AS_DECLARED,
pMEDICI,MCA_1,100,293,103.0,3,AS_DECLARED,
pMEDICI+,MCA_1,0,271,63.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_1,100,260,101.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_1,0,286,72.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_1,100,292,97.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_1,0,284,70.0,3,RANDOM,
pMEDICI,MCA_1,100,289,97.0,3,RANDOM,
ACTS,MCA_1,0,130,0.0,2,,
PICT w SEEDS,MCA_1,0,130,34.0,3,,
PICT,MCA_1,100,130,32.0,3,,
ACTS w SEEDS,MCA_1,0,260,0.0,3,,
ACTS,MCA_1,100,260,0.0,3,,
pMEDICI+,MCA_1,0,287,69.0,3,AS_DECLARED,
pMEDICI,MCA_1,100,299,96.0,3,AS_DECLARED,
pMEDICI+,MCA_1,0,269,64.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_1,100,260,101.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_1,0,285,71.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_1,100,285,105.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_1,0,269,70.0,3,RANDOM,
pMEDICI,MCA_1,100,282,101.0,3,RANDOM,
ACTS,MCA_1,0,130,0.0,2,,
PICT w SEEDS,MCA_1,0,130,33.0,3,,
PICT,MCA_1,100,130,31.0,3,,
ACTS w SEEDS,MCA_1,0,260,1.0,3,,
ACTS,MCA_1,100,260,0.0,3,,
pMEDICI+,MCA_1,0,282,68.0,3,AS_DECLARED,
pMEDICI,MCA_1,100,289,106.0,3,AS_DECLARED,
pMEDICI+,MCA_1,0,270,64.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_1,100,260,103.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_1,0,285,69.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_1,100,291,100.0,3,IN_ORDER_SIZE_ASC,
