Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,BOOLC_0,0,10,1363.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,109.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,13421.0,3,,
ACTS,BOOLC_0,100,22,13012.0,3,,
pMEDICI+,BOOLC_0,0,26,387.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,27,311.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,27,288.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,26,285.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,26,286.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,26,332.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,27,206.0,3,RANDOM,
pMEDICI,BOOLC_0,100,25,285.0,3,RANDOM,
ACTS,BOOLC_0,0,13,23.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,99.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,12735.0,3,,
ACTS,BOOLC_0,100,22,12856.0,3,,
pMEDICI+,BOOLC_0,0,26,246.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,28,315.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,28,280.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,25,274.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,28,313.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,29,321.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,26,254.0,3,RANDOM,
pMEDICI,BOOLC_0,100,28,302.0,3,RANDOM,
ACTS,BOOLC_0,0,13,18.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,113.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,12976.0,3,,
ACTS,BOOLC_0,100,22,12861.0,3,,
pMEDICI+,BOOLC_0,0,31,280.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,28,280.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,30,294.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,28,289.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,26,249.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,27,288.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,24,249.0,3,RANDOM,
pMEDICI,BOOLC_0,100,24,229.0,3,RANDOM,
ACTS,BOOLC_0,0,13,24.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,111.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,14194.0,3,,
ACTS,BOOLC_0,100,22,16693.0,3,,
pMEDICI+,BOOLC_0,0,27,298.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,27,324.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,25,238.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,28,273.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,26,286.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,28,306.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,30,297.0,3,RANDOM,
pMEDICI,BOOLC_0,100,28,313.0,3,RANDOM,
ACTS,BOOLC_0,0,13,19.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,143.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,14940.0,3,,
ACTS,BOOLC_0,100,22,15624.0,3,,
pMEDICI+,BOOLC_0,0,25,262.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,28,286.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,28,291.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,25,258.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,28,266.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,27,290.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,24,224.0,3,RANDOM,
pMEDICI,BOOLC_0,100,27,260.0,3,RANDOM,
ACTS,BOOLC_1,0,12,15.0,2,,
PICT w SEEDS,BOOLC_1,0,12,33.0,3,,
PICT,BOOLC_1,100,11,32.0,3,,
ACTS w SEEDS,BOOLC_1,0,29,47.0,3,,
ACTS,BOOLC_1,100,29,40.0,3,,
pMEDICI+,BOOLC_1,0,34,24.0,3,AS_DECLARED,
pMEDICI,BOOLC_1,100,30,37.0,3,AS_DECLARED,
pMEDICI+,BOOLC_1,0,35,24.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_1,100,35,42.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_1,0,33,22.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_1,100,32,41.0,3,IN_ORDER_SIZE_ASC,
