Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,BOOLC_0,0,10,2430.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,78.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,16093.0,3,,
ACTS,BOOLC_0,100,22,15647.0,3,,
pMEDICI+,BOOLC_0,0,26,792.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,28,370.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,25,291.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,28,341.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,27,295.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,26,339.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,26,296.0,3,RANDOM,
pMEDICI,BOOLC_0,100,25,325.0,3,RANDOM,
ACTS,BOOLC_0,0,10,795.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,99.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15866.0,3,,
ACTS,BOOLC_0,100,22,15081.0,3,,
pMEDICI+,BOOLC_0,0,24,292.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,27,326.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,26,279.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,23,303.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,24,273.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,25,290.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,25,241.0,3,RANDOM,
pMEDICI,BOOLC_0,100,22,252.0,3,RANDOM,
ACTS,BOOLC_0,0,10,759.0,2,,
PICT w SEEDS,BOOLC_0,0,0,-1.0,3,,
PICT,BOOLC_0,100,0,99.0,3,,
ACTS w SEEDS,BOOLC_0,0,22,15416.0,3,,
ACTS,BOOLC_0,100,22,15526.0,3,,
pMEDICI+,BOOLC_0,0,25,267.0,3,AS_DECLARED,
pMEDICI,BOOLC_0,100,25,294.0,3,AS_DECLARED,
pMEDICI+,BOOLC_0,0,26,289.0,3,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,100,27,363.0,3,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,24,279.0,3,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,100,24,278.0,3,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,23,200.0,3,RANDOM,
pMEDICI,BOOLC_0,100,25,296.0,3,RANDOM,
