Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,MCA_0,0,230,48.0,2,,
PICT,MCA_0,0,230,99.0,2,,
ACTS,MCA_0,0,230,25.0,2,,
pMEDICI+,MCA_0,0,230,776.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,556,651.0,2,AS_DECLARED,
pMEDICI+,MCA_0,0,230,165.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,538,451.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,230,153.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,615,598.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,230,130.0,2,RANDOM,
pMEDICI,MCA_0,0,575,546.0,2,RANDOM,
PICT,MCA_0,10,264,85.0,2,,
ACTS,MCA_0,10,230,11.0,2,,
pMEDICI+,MCA_0,10,255,143.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,565,421.0,2,AS_DECLARED,
pMEDICI+,MCA_0,10,251,125.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,539,391.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,10,278,136.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,608,440.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,10,259,129.0,2,RANDOM,
pMEDICI,MCA_0,0,573,377.0,2,RANDOM,
PICT,MCA_0,20,300,77.0,2,,
ACTS,MCA_0,20,230,5.0,2,,
pMEDICI+,MCA_0,20,328,157.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,549,370.0,2,AS_DECLARED,
pMEDICI+,MCA_0,20,292,140.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,533,377.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,20,352,150.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,610,394.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,20,332,145.0,2,RANDOM,
pMEDICI,MCA_0,0,557,366.0,2,RANDOM,
PICT,MCA_0,30,303,72.0,2,,
ACTS,MCA_0,30,230,6.0,2,,
pMEDICI+,MCA_0,30,336,157.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,559,432.0,2,AS_DECLARED,
pMEDICI+,MCA_0,30,315,166.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,548,420.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,30,378,172.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,597,413.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,30,332,156.0,2,RANDOM,
pMEDICI,MCA_0,0,599,382.0,2,RANDOM,
PICT,MCA_0,40,284,72.0,2,,
ACTS,MCA_0,40,230,6.0,2,,
pMEDICI+,MCA_0,40,338,156.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,557,371.0,2,AS_DECLARED,
pMEDICI+,MCA_0,40,303,165.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,547,415.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,40,378,162.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,611,369.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,40,355,169.0,2,RANDOM,
pMEDICI,MCA_0,0,564,352.0,2,RANDOM,
PICT,MCA_0,50,281,69.0,2,,
ACTS,MCA_0,50,230,4.0,2,,
pMEDICI+,MCA_0,50,335,166.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,570,368.0,2,AS_DECLARED,
pMEDICI+,MCA_0,50,317,176.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,526,358.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,50,387,166.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,613,370.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,50,341,167.0,2,RANDOM,
pMEDICI,MCA_0,0,574,358.0,2,RANDOM,
PICT,MCA_0,60,253,79.0,2,,
ACTS,MCA_0,60,230,4.0,2,,
pMEDICI+,MCA_0,60,327,162.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,523,328.0,2,AS_DECLARED,
pMEDICI+,MCA_0,60,317,189.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,518,357.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,60,375,153.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,576,354.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,60,334,172.0,2,RANDOM,
pMEDICI,MCA_0,0,508,333.0,2,RANDOM,
PICT,MCA_0,70,253,80.0,2,,
ACTS,MCA_0,70,230,3.0,2,,
pMEDICI+,MCA_0,70,325,158.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,417,290.0,2,AS_DECLARED,
pMEDICI+,MCA_0,70,312,183.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,402,323.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,70,379,138.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,469,326.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,70,335,170.0,2,RANDOM,
pMEDICI,MCA_0,0,415,341.0,2,RANDOM,
PICT,MCA_0,80,253,102.0,2,,
ACTS,MCA_0,80,230,4.0,2,,
pMEDICI+,MCA_0,80,328,168.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,356,294.0,2,AS_DECLARED,
pMEDICI+,MCA_0,80,312,185.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,332,280.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,80,386,130.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,398,266.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,80,318,170.0,2,RANDOM,
pMEDICI,MCA_0,0,364,264.0,2,RANDOM,
PICT,MCA_0,90,253,99.0,2,,
ACTS,MCA_0,90,230,7.0,2,,
pMEDICI+,MCA_0,90,325,167.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,330,243.0,2,AS_DECLARED,
pMEDICI+,MCA_0,90,307,182.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,309,269.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,90,377,131.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,374,254.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,90,327,177.0,2,RANDOM,
pMEDICI,MCA_0,0,365,270.0,2,RANDOM,
PICT,MCA_0,100,253,78.0,2,,
ACTS,MCA_0,100,230,4.0,2,,
pMEDICI+,MCA_0,100,326,154.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,329,244.0,2,AS_DECLARED,
pMEDICI+,MCA_0,100,306,177.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,305,287.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,100,377,132.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,385,276.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,100,330,162.0,2,RANDOM,
pMEDICI,MCA_0,0,342,251.0,2,RANDOM,
ACTS,MCA_0,0,230,3.0,2,,
PICT,MCA_0,0,230,63.0,2,,
ACTS,MCA_0,0,230,4.0,2,,
pMEDICI+,MCA_0,0,230,123.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,565,370.0,2,AS_DECLARED,
pMEDICI+,MCA_0,0,230,116.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,535,378.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,0,230,113.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,613,437.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,0,230,115.0,2,RANDOM,
pMEDICI,MCA_0,0,586,432.0,2,RANDOM,
PICT,MCA_0,10,268,72.0,2,,
ACTS,MCA_0,10,230,3.0,2,,
pMEDICI+,MCA_0,10,277,121.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,554,354.0,2,AS_DECLARED,
pMEDICI+,MCA_0,10,259,115.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,530,390.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,10,291,127.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,612,427.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCA_0,10,263,131.0,2,RANDOM,
pMEDICI,MCA_0,0,566,374.0,2,RANDOM,
PICT,MCA_0,20,296,72.0,2,,
ACTS,MCA_0,20,230,4.0,2,,
pMEDICI+,MCA_0,20,328,146.0,2,AS_DECLARED,
pMEDICI,MCA_0,0,550,390.0,2,AS_DECLARED,
pMEDICI+,MCA_0,20,299,147.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCA_0,0,538,419.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCA_0,20,356,155.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCA_0,0,605,376.0,2,IN_ORDER_SIZE_ASC,
