Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,BOOLC_0,0,10,2021.0,2,,
PICT,BOOLC_0,0,0,-1.0,2,,
ACTS,BOOLC_0,0,10,962.0,2,,
pMEDICI+,BOOLC_0,0,10,91.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,22,86.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,0,10,20.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,64.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,10,16.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,51.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,10,14.0,2,RANDOM,
pMEDICI,BOOLC_0,0,22,52.0,2,RANDOM,
PICT,BOOLC_0,10,0,-1.0,2,,
ACTS,BOOLC_0,10,10,815.0,2,,
pMEDICI+,BOOLC_0,10,10,15.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,21,45.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,10,11,16.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,42.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,10,11,15.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,38.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,10,10,11.0,2,RANDOM,
pMEDICI,BOOLC_0,0,23,44.0,2,RANDOM,
PICT,BOOLC_0,20,0,-1.0,2,,
ACTS,BOOLC_0,20,10,822.0,2,,
pMEDICI+,BOOLC_0,20,11,16.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,21,41.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,20,11,14.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,39.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,20,11,16.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,39.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,20,10,12.0,2,RANDOM,
pMEDICI,BOOLC_0,0,21,33.0,2,RANDOM,
PICT,BOOLC_0,30,0,-1.0,2,,
ACTS,BOOLC_0,30,10,780.0,2,,
pMEDICI+,BOOLC_0,30,13,18.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,22,37.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,30,11,15.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,36.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,30,12,15.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,34.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,30,11,15.0,2,RANDOM,
pMEDICI,BOOLC_0,0,20,35.0,2,RANDOM,
PICT,BOOLC_0,40,0,-1.0,2,,
ACTS,BOOLC_0,40,10,774.0,2,,
pMEDICI+,BOOLC_0,40,12,16.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,24,34.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,40,14,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,21,34.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,40,13,18.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,31.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,40,12,17.0,2,RANDOM,
