Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
KALI,UNIFORM_ALL_0,0,896,24665.0,2,,
PICT,UNIFORM_ALL_0,0,896,173.0,2,,
ACTS,UNIFORM_ALL_0,0,411,77.0,2,,
pMEDICI+,UNIFORM_ALL_0,0,896,1670.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,0,896,1151.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,0,896,1101.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,0,896,1182.0,2,RANDOM,
PICT,UNIFORM_ALL_0,10,914,150.0,2,,
ACTS,UNIFORM_ALL_0,10,411,21.0,2,,
pMEDICI+,UNIFORM_ALL_0,10,898,1071.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,10,897,1126.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,10,898,1074.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,10,899,1163.0,2,RANDOM,
PICT,UNIFORM_ALL_0,20,814,143.0,2,,
ACTS,UNIFORM_ALL_0,20,411,21.0,2,,
pMEDICI+,UNIFORM_ALL_0,20,896,1078.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,20,896,1145.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,20,896,990.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,20,896,1052.0,2,RANDOM,
PICT,UNIFORM_ALL_0,30,560,133.0,2,,
ACTS,UNIFORM_ALL_0,30,411,22.0,2,,
pMEDICI+,UNIFORM_ALL_0,30,896,1105.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,30,896,1067.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,30,896,1013.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,30,896,1022.0,2,RANDOM,
PICT,UNIFORM_ALL_0,40,447,122.0,2,,
ACTS,UNIFORM_ALL_0,40,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,40,896,1244.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,40,896,1094.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,40,896,1249.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,40,896,1141.0,2,RANDOM,
PICT,UNIFORM_ALL_0,50,385,192.0,2,,
ACTS,UNIFORM_ALL_0,50,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,50,893,1238.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,50,893,1254.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,50,893,1311.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,50,893,1228.0,2,RANDOM,
PICT,UNIFORM_ALL_0,60,390,195.0,2,,
ACTS,UNIFORM_ALL_0,60,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,60,724,1181.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,60,724,1096.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,60,724,1158.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,60,724,1102.0,2,RANDOM,
PICT,UNIFORM_ALL_0,70,386,185.0,2,,
ACTS,UNIFORM_ALL_0,70,411,21.0,2,,
pMEDICI+,UNIFORM_ALL_0,70,588,732.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,70,604,803.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,70,590,774.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,70,595,749.0,2,RANDOM,
PICT,UNIFORM_ALL_0,80,386,186.0,2,,
ACTS,UNIFORM_ALL_0,80,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,80,586,748.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,80,582,766.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,80,592,765.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,80,591,717.0,2,RANDOM,
PICT,UNIFORM_ALL_0,90,386,189.0,2,,
ACTS,UNIFORM_ALL_0,90,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,90,599,684.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,90,584,689.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,90,594,758.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,90,590,679.0,2,RANDOM,
PICT,UNIFORM_ALL_0,100,386,209.0,2,,
ACTS,UNIFORM_ALL_0,100,411,16.0,2,,
pMEDICI,UNIFORM_ALL_0,100,582,802.0,2,AS_DECLARED,
pMEDICI,UNIFORM_ALL_0,100,591,878.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,UNIFORM_ALL_0,100,599,807.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,UNIFORM_ALL_0,100,598,814.0,2,RANDOM,
KALI,UNIFORM_ALL_0,0,944,21025.0,2,,
PICT,UNIFORM_ALL_0,0,944,167.0,2,,
ACTS,UNIFORM_ALL_0,0,411,19.0,2,,
pMEDICI+,UNIFORM_ALL_0,0,944,1421.0,2,AS_DECLARED,
