Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,BOOLC_0,0,10,2179.0,2,,
PICT,BOOLC_0,0,0,-1.0,2,,
ACTS,BOOLC_0,0,10,947.0,2,,
pMEDICI+,BOOLC_0,0,10,83.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,23,83.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,0,10,23.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,23,70.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,10,17.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,22,56.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,10,14.0,2,RANDOM,
pMEDICI,BOOLC_0,0,23,46.0,2,RANDOM,
PICT,BOOLC_0,10,0,-1.0,2,,
ACTS,BOOLC_0,10,10,812.0,2,,
pMEDICI+,BOOLC_0,10,10,16.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,21,43.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,10,10,13.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,48.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,10,10,13.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,20,41.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,10,10,13.0,2,RANDOM,
pMEDICI,BOOLC_0,0,21,39.0,2,RANDOM,
PICT,BOOLC_0,20,0,-1.0,2,,
ACTS,BOOLC_0,20,10,771.0,2,,
pMEDICI+,BOOLC_0,20,10,14.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,20,37.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,20,9,11.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,20,37.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,20,9,11.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,20,36.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,20,10,13.0,2,RANDOM,
pMEDICI,BOOLC_0,0,20,35.0,2,RANDOM,
PICT,BOOLC_0,30,0,-1.0,2,,
ACTS,BOOLC_0,30,10,791.0,2,,
pMEDICI+,BOOLC_0,30,10,14.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,17,35.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,30,11,15.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,18,35.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,30,12,19.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,18,33.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,30,10,13.0,2,RANDOM,
pMEDICI,BOOLC_0,0,19,38.0,2,RANDOM,
PICT,BOOLC_0,40,0,-1.0,2,,
ACTS,BOOLC_0,40,10,760.0,2,,
pMEDICI+,BOOLC_0,40,12,20.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,17,34.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,40,13,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,14,31.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,40,13,15.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,17,33.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,40,12,15.0,2,RANDOM,
pMEDICI,BOOLC_0,0,16,32.0,2,RANDOM,
PICT,BOOLC_0,50,0,-1.0,2,,
ACTS,BOOLC_0,50,10,761.0,2,,
pMEDICI+,BOOLC_0,50,10,20.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,13,36.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,50,11,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,13,36.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,50,10,18.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,14,32.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,50,11,19.0,2,RANDOM,
pMEDICI,BOOLC_0,0,14,32.0,2,RANDOM,
PICT,BOOLC_0,60,0,-1.0,2,,
ACTS,BOOLC_0,60,10,786.0,2,,
pMEDICI+,BOOLC_0,60,13,17.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,14,34.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,60,13,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,12,32.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,60,11,20.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,13,30.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,60,11,17.0,2,RANDOM,
pMEDICI,BOOLC_0,0,13,33.0,2,RANDOM,
PICT,BOOLC_0,70,0,-1.0,2,,
ACTS,BOOLC_0,70,10,755.0,2,,
pMEDICI+,BOOLC_0,70,11,20.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,13,35.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,70,11,18.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,14,32.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,70,14,26.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,14,34.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,70,11,17.0,2,RANDOM,
pMEDICI,BOOLC_0,0,11,31.0,2,RANDOM,
PICT,BOOLC_0,80,0,-1.0,2,,
ACTS,BOOLC_0,80,10,771.0,2,,
pMEDICI+,BOOLC_0,80,12,17.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,12,33.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,80,11,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,13,33.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,80,11,20.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,12,30.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,80,10,20.0,2,RANDOM,
pMEDICI,BOOLC_0,0,10,31.0,2,RANDOM,
PICT,BOOLC_0,90,0,-1.0,2,,
ACTS,BOOLC_0,90,10,763.0,2,,
pMEDICI+,BOOLC_0,90,11,21.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,13,32.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,90,10,16.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,15,37.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,90,11,17.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,13,32.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,90,12,18.0,2,RANDOM,
pMEDICI,BOOLC_0,0,12,32.0,2,RANDOM,
PICT,BOOLC_0,100,0,-1.0,2,,
ACTS,BOOLC_0,100,10,750.0,2,,
pMEDICI+,BOOLC_0,100,11,18.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,12,33.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,100,12,17.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,12,30.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,100,11,17.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,13,32.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,100,10,21.0,2,RANDOM,
pMEDICI,BOOLC_0,0,11,35.0,2,RANDOM,
ACTS,BOOLC_0,0,10,746.0,2,,
PICT,BOOLC_0,0,0,-1.0,2,,
ACTS,BOOLC_0,0,10,746.0,2,,
pMEDICI+,BOOLC_0,0,10,11.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,23,34.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,0,10,9.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,22,35.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,0,10,9.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,31.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,0,10,12.0,2,RANDOM,
pMEDICI,BOOLC_0,0,20,31.0,2,RANDOM,
PICT,BOOLC_0,10,0,-1.0,2,,
ACTS,BOOLC_0,10,10,742.0,2,,
pMEDICI+,BOOLC_0,10,10,9.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,21,32.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,10,10,10.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,20,31.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,10,10,15.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,21,33.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,10,10,13.0,2,RANDOM,
pMEDICI,BOOLC_0,0,21,35.0,2,RANDOM,
PICT,BOOLC_0,20,0,-1.0,2,,
ACTS,BOOLC_0,20,10,747.0,2,,
pMEDICI+,BOOLC_0,20,10,12.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,18,29.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,20,11,12.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,19,32.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,20,10,14.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,19,30.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,20,11,16.0,2,RANDOM,
pMEDICI,BOOLC_0,0,20,35.0,2,RANDOM,
PICT,BOOLC_0,30,0,-1.0,2,,
ACTS,BOOLC_0,30,10,731.0,2,,
pMEDICI+,BOOLC_0,30,9,14.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,17,31.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,30,11,18.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,19,32.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,30,10,12.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,16,29.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,30,10,12.0,2,RANDOM,
pMEDICI,BOOLC_0,0,17,30.0,2,RANDOM,
PICT,BOOLC_0,40,0,-1.0,2,,
ACTS,BOOLC_0,40,10,743.0,2,,
pMEDICI+,BOOLC_0,40,9,12.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,15,32.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,40,12,18.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,16,35.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,40,10,15.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,15,31.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,40,11,18.0,2,RANDOM,
pMEDICI,BOOLC_0,0,15,34.0,2,RANDOM,
PICT,BOOLC_0,50,0,-1.0,2,,
ACTS,BOOLC_0,50,10,734.0,2,,
pMEDICI+,BOOLC_0,50,11,20.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,15,36.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,50,11,18.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,13,32.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,50,11,21.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,13,32.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,50,11,17.0,2,RANDOM,
pMEDICI,BOOLC_0,0,12,28.0,2,RANDOM,
PICT,BOOLC_0,60,0,-1.0,2,,
ACTS,BOOLC_0,60,10,737.0,2,,
pMEDICI+,BOOLC_0,60,11,22.0,2,AS_DECLARED,
pMEDICI,BOOLC_0,0,13,31.0,2,AS_DECLARED,
pMEDICI+,BOOLC_0,60,12,18.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,BOOLC_0,0,13,31.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,BOOLC_0,60,13,21.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,BOOLC_0,0,12,30.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,BOOLC_0,60,10,17.0,2,RANDOM,
pMEDICI,BOOLC_0,0,14,35.0,2,RANDOM,
PICT,BOOLC_0,70,0,-1.0,2,,
ACTS,BOOLC_0,70,10,740.0,2,,
pMEDICI+,BOOLC_0,70,10,16.0,2,AS_DECLARED,
