Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
ACTS,MCAC_0,0,182,221494.0,2,,
PICT,MCAC_0,0,0,-1.0,2,,
ACTS,MCAC_0,0,182,217284.0,2,,
pMEDICI+,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,0,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,10,0,-1.0,2,,
ACTS,MCAC_0,10,182,240406.0,2,,
pMEDICI+,MCAC_0,10,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,10,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,10,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,10,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,20,0,-1.0,2,,
ACTS,MCAC_0,20,182,235800.0,2,,
pMEDICI+,MCAC_0,20,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,20,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,20,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,20,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,30,0,-1.0,2,,
ACTS,MCAC_0,30,182,256172.0,2,,
pMEDICI+,MCAC_0,30,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,30,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,30,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,30,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,40,0,-1.0,2,,
ACTS,MCAC_0,40,182,257528.0,2,,
pMEDICI+,MCAC_0,40,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,40,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,40,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,40,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,50,0,-1.0,2,,
ACTS,MCAC_0,50,182,273357.0,2,,
pMEDICI+,MCAC_0,50,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,50,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,50,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,MCAC_0,50,0,-1.0,2,RANDOM,
pMEDICI,MCAC_0,0,0,-1.0,2,RANDOM,
PICT,MCAC_0,60,0,-1.0,2,,
ACTS,MCAC_0,60,182,251614.0,2,,
pMEDICI+,MCAC_0,60,0,-1.0,2,AS_DECLARED,
pMEDICI,MCAC_0,0,0,-1.0,2,AS_DECLARED,
pMEDICI+,MCAC_0,60,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,MCAC_0,0,0,-1.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,MCAC_0,60,0,-1.0,2,IN_ORDER_SIZE_ASC,
