Generator,ModelName,PercentageOfOldTsKept,TSSize,TSTime,Strength,Ordering,
KALI,UNIFORM_ALL_0,0,870,21916.0,2,,
PICT,UNIFORM_ALL_0,0,870,182.0,2,,
ACTS,UNIFORM_ALL_0,0,1281,86.0,2,,
pMEDICI,UNIFORM_ALL_0,0,1453,1287.0,2,AS_DECLARED,
pMEDICI,UNIFORM_ALL_0,0,1462,1078.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,UNIFORM_ALL_0,0,1456,1196.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,UNIFORM_ALL_0,0,1462,1069.0,2,RANDOM,
PICT,UNIFORM_ALL_0,10,833,161.0,2,,
ACTS,UNIFORM_ALL_0,10,1194,22.0,2,,
pMEDICI+,UNIFORM_ALL_0,10,844,1143.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,10,844,1170.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,10,844,1014.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,10,845,1064.0,2,RANDOM,
PICT,UNIFORM_ALL_0,20,732,139.0,2,,
ACTS,UNIFORM_ALL_0,20,1038,23.0,2,,
pMEDICI+,UNIFORM_ALL_0,20,779,1119.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,20,787,1110.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,20,780,1052.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,20,776,957.0,2,RANDOM,
PICT,UNIFORM_ALL_0,30,609,154.0,2,,
ACTS,UNIFORM_ALL_0,30,850,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,30,707,1059.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,30,704,1048.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,30,710,900.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,30,724,905.0,2,RANDOM,
PICT,UNIFORM_ALL_0,40,502,163.0,2,,
ACTS,UNIFORM_ALL_0,40,675,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,40,648,799.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,40,650,822.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,40,659,861.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,40,652,855.0,2,RANDOM,
PICT,UNIFORM_ALL_0,50,428,176.0,2,,
ACTS,UNIFORM_ALL_0,50,543,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,50,613,865.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,50,609,939.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,50,610,760.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,50,613,760.0,2,RANDOM,
PICT,UNIFORM_ALL_0,60,398,193.0,2,,
ACTS,UNIFORM_ALL_0,60,464,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,60,586,739.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,60,587,678.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,60,588,674.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,60,594,701.0,2,RANDOM,
PICT,UNIFORM_ALL_0,70,391,194.0,2,,
ACTS,UNIFORM_ALL_0,70,427,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,70,589,736.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,70,577,706.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,70,597,716.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,70,586,715.0,2,RANDOM,
PICT,UNIFORM_ALL_0,80,386,194.0,2,,
ACTS,UNIFORM_ALL_0,80,415,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,80,585,725.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,80,586,731.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,80,588,687.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,80,588,671.0,2,RANDOM,
PICT,UNIFORM_ALL_0,90,386,196.0,2,,
ACTS,UNIFORM_ALL_0,90,412,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,90,587,735.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,90,591,710.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,90,589,702.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,90,597,746.0,2,RANDOM,
PICT,UNIFORM_ALL_0,100,386,207.0,2,,
ACTS,UNIFORM_ALL_0,100,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,100,590,692.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,100,603,685.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,100,595,719.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,100,590,682.0,2,RANDOM,
KALI,UNIFORM_ALL_0,0,931,20181.0,2,,
PICT,UNIFORM_ALL_0,0,931,184.0,2,,
ACTS,UNIFORM_ALL_0,0,1342,16.0,2,,
pMEDICI,UNIFORM_ALL_0,0,1517,1237.0,2,AS_DECLARED,
pMEDICI,UNIFORM_ALL_0,0,1521,1189.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,UNIFORM_ALL_0,0,1509,1137.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,UNIFORM_ALL_0,0,1519,1102.0,2,RANDOM,
PICT,UNIFORM_ALL_0,10,893,145.0,2,,
ACTS,UNIFORM_ALL_0,10,1249,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,10,916,1259.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,10,912,1073.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,10,916,1124.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,10,902,1057.0,2,RANDOM,
PICT,UNIFORM_ALL_0,20,774,140.0,2,,
ACTS,UNIFORM_ALL_0,20,1082,19.0,2,,
pMEDICI+,UNIFORM_ALL_0,20,845,1017.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,20,848,1009.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,20,843,1202.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,20,825,1065.0,2,RANDOM,
PICT,UNIFORM_ALL_0,30,632,139.0,2,,
ACTS,UNIFORM_ALL_0,30,881,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,30,742,1061.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,30,744,1057.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,30,743,940.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,30,740,1107.0,2,RANDOM,
PICT,UNIFORM_ALL_0,40,512,149.0,2,,
ACTS,UNIFORM_ALL_0,40,693,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,40,667,966.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,40,661,958.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,40,664,868.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,40,667,976.0,2,RANDOM,
PICT,UNIFORM_ALL_0,50,435,160.0,2,,
ACTS,UNIFORM_ALL_0,50,552,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,50,613,765.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,50,615,870.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,50,615,769.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,50,602,842.0,2,RANDOM,
PICT,UNIFORM_ALL_0,60,400,177.0,2,,
ACTS,UNIFORM_ALL_0,60,468,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,60,594,790.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,60,598,726.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,60,599,682.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,60,591,677.0,2,RANDOM,
PICT,UNIFORM_ALL_0,70,386,180.0,2,,
ACTS,UNIFORM_ALL_0,70,429,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,70,587,683.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,70,587,753.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,70,589,782.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,70,591,667.0,2,RANDOM,
PICT,UNIFORM_ALL_0,80,387,179.0,2,,
ACTS,UNIFORM_ALL_0,80,415,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,80,590,663.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,80,599,692.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,80,592,776.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,80,594,782.0,2,RANDOM,
PICT,UNIFORM_ALL_0,90,388,184.0,2,,
ACTS,UNIFORM_ALL_0,90,412,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,90,584,690.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,90,596,787.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,90,587,743.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,90,588,714.0,2,RANDOM,
PICT,UNIFORM_ALL_0,100,386,176.0,2,,
ACTS,UNIFORM_ALL_0,100,411,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,100,593,786.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,100,583,694.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,100,586,727.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,100,586,703.0,2,RANDOM,
KALI,UNIFORM_ALL_0,0,929,18635.0,2,,
PICT,UNIFORM_ALL_0,0,929,148.0,2,,
ACTS,UNIFORM_ALL_0,0,1340,17.0,2,,
pMEDICI,UNIFORM_ALL_0,0,1523,1142.0,2,AS_DECLARED,
pMEDICI,UNIFORM_ALL_0,0,1514,1193.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,UNIFORM_ALL_0,0,1516,1075.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,UNIFORM_ALL_0,0,1521,1168.0,2,RANDOM,
PICT,UNIFORM_ALL_0,10,887,149.0,2,,
ACTS,UNIFORM_ALL_0,10,1248,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,10,908,1166.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,10,909,1227.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,10,907,1218.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,10,894,1113.0,2,RANDOM,
PICT,UNIFORM_ALL_0,20,779,145.0,2,,
ACTS,UNIFORM_ALL_0,20,1081,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,20,838,1050.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,20,838,1208.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,20,846,1130.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,20,829,1016.0,2,RANDOM,
PICT,UNIFORM_ALL_0,30,641,142.0,2,,
ACTS,UNIFORM_ALL_0,30,880,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,30,753,1131.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,30,753,1000.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,30,751,1008.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,30,745,994.0,2,RANDOM,
PICT,UNIFORM_ALL_0,40,520,149.0,2,,
ACTS,UNIFORM_ALL_0,40,693,19.0,2,,
pMEDICI+,UNIFORM_ALL_0,40,676,899.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,40,681,900.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,40,681,1004.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,40,663,938.0,2,RANDOM,
PICT,UNIFORM_ALL_0,50,438,163.0,2,,
ACTS,UNIFORM_ALL_0,50,552,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,50,626,861.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,50,617,728.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,50,625,766.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,50,622,861.0,2,RANDOM,
PICT,UNIFORM_ALL_0,60,400,176.0,2,,
ACTS,UNIFORM_ALL_0,60,468,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,60,597,708.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,60,593,719.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,60,585,800.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,60,592,754.0,2,RANDOM,
PICT,UNIFORM_ALL_0,70,388,183.0,2,,
ACTS,UNIFORM_ALL_0,70,429,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,70,585,660.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,70,582,673.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,70,587,698.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,70,592,737.0,2,RANDOM,
PICT,UNIFORM_ALL_0,80,389,185.0,2,,
ACTS,UNIFORM_ALL_0,80,415,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,80,583,753.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,80,593,717.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,80,587,694.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,80,596,677.0,2,RANDOM,
PICT,UNIFORM_ALL_0,90,390,186.0,2,,
ACTS,UNIFORM_ALL_0,90,412,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,90,583,768.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,90,581,757.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,90,590,780.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,90,588,693.0,2,RANDOM,
PICT,UNIFORM_ALL_0,100,386,177.0,2,,
ACTS,UNIFORM_ALL_0,100,411,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,100,593,702.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,100,585,670.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,100,595,686.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,100,588,707.0,2,RANDOM,
KALI,UNIFORM_ALL_0,0,924,18679.0,2,,
PICT,UNIFORM_ALL_0,0,924,152.0,2,,
ACTS,UNIFORM_ALL_0,0,1335,16.0,2,,
pMEDICI,UNIFORM_ALL_0,0,1512,1239.0,2,AS_DECLARED,
pMEDICI,UNIFORM_ALL_0,0,1508,1238.0,2,IN_ORDER_SIZE_DESC,
pMEDICI,UNIFORM_ALL_0,0,1513,1171.0,2,IN_ORDER_SIZE_ASC,
pMEDICI,UNIFORM_ALL_0,0,1509,1084.0,2,RANDOM,
PICT,UNIFORM_ALL_0,10,882,144.0,2,,
ACTS,UNIFORM_ALL_0,10,1243,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,10,901,1156.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,10,903,1319.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,10,904,1215.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,10,898,1117.0,2,RANDOM,
PICT,UNIFORM_ALL_0,20,767,139.0,2,,
ACTS,UNIFORM_ALL_0,20,1077,17.0,2,,
pMEDICI+,UNIFORM_ALL_0,20,824,1185.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,20,826,1108.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,20,824,1167.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,20,811,1189.0,2,RANDOM,
PICT,UNIFORM_ALL_0,30,635,140.0,2,,
ACTS,UNIFORM_ALL_0,30,878,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,30,748,972.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,30,737,1054.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,30,741,953.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,30,726,942.0,2,RANDOM,
PICT,UNIFORM_ALL_0,40,517,148.0,2,,
ACTS,UNIFORM_ALL_0,40,692,16.0,2,,
pMEDICI+,UNIFORM_ALL_0,40,662,923.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,40,678,983.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,40,666,925.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,40,657,979.0,2,RANDOM,
PICT,UNIFORM_ALL_0,50,439,164.0,2,,
ACTS,UNIFORM_ALL_0,50,552,20.0,2,,
pMEDICI+,UNIFORM_ALL_0,50,623,752.0,2,AS_DECLARED,
pMEDICI+,UNIFORM_ALL_0,50,617,862.0,2,IN_ORDER_SIZE_DESC,
pMEDICI+,UNIFORM_ALL_0,50,617,774.0,2,IN_ORDER_SIZE_ASC,
pMEDICI+,UNIFORM_ALL_0,50,619,835.0,2,RANDOM,
PICT,UNIFORM_ALL_0,60,397,177.0,2,,
ACTS,UNIFORM_ALL_0,60,468,17.0,2,,
