ModelName,TimeKali,SizeKali,TimePMedici,SizePMedici,TimeActs,SizeActs
UNIFORM_BOOLEAN_33,2.14,16,1.88,13,0.29,10
UNIFORM_BOOLEAN_35,2.11,15,1.93,17,0.31,10
UNIFORM_ALL_39,37.98,933,9.5,740,0.54,454
MCA_21,105.91,3052,30.4,2340,0.63,1559
NUMC_3,26.96,2195,,,0.84,1842
UNIFORM_BOOLEAN_37,2.08,16,1.83,16,0.32,12
UNIFORM_ALL_34,2.6,50,1.93,39,0.35,33
MCA_25,47.42,2743,10.42,2288,0.49,1961
UNIFORM_BOOLEAN_38,2.08,15,1.91,13,0.29,10
BOOLC_35,2.11,11,1.92,18,0.61,6
UNIFORM_BOOLEAN_8,1.99,4,1.79,4,0.28,4
UNIFORM_BOOLEAN_32,2.07,8,1.72,6,0.28,4
UNIFORM_BOOLEAN_34,2.09,16,1.88,14,0.32,10
MCA_26,208.15,4690,59.51,4003,0.71,2243
UNIFORM_BOOLEAN_30,2.08,14,1.94,13,0.31,10
UNIFORM_ALL_33,16.25,740,4.92,562,0.45,329
MCA_22,2.49,120,1.88,120,0.28,120
UNIFORM_BOOLEAN_15,2.13,16,1.81,21,0.36,10
UNIFORM_BOOLEAN_40,2.06,11,1.84,11,0.28,6
UNIFORM_ALL_43,40.38,821,9.15,649,0.56,413
UNIFORM_ALL_16,2.28,17,1.84,17,0.32,12
MCA_30,1.97,12,1.89,12,0.25,12
UNIFORM_ALL_7,3.21,61,2.06,50,0.33,41
MCAC_9,34.63,2429,8.66,2308,1.05,2200
UNIFORM_ALL_47,31.51,891,8.3,688,0.5,413
UNIFORM_ALL_12,2.27,17,2.0,20,0.31,12
UNIFORM_BOOLEAN_12,2.15,16,1.88,17,0.32,10
UNIFORM_BOOLEAN_47,2.0,13,1.92,15,0.31,8
UNIFORM_BOOLEAN_48,2.06,17,1.89,20,0.31,10
UNIFORM_ALL_44,3.71,138,1.95,102,0.36,78
UNIFORM_ALL_11,6.37,441,2.94,319,0.35,121
MCA_37,29.8,1693,10.66,1352,0.56,982
UNIFORM_ALL_0,10.99,415,3.65,309,0.42,219
UNIFORM_ALL_40,43.79,1105,11.3,891,0.45,289
UNIFORM_ALL_15,2.07,16,1.89,16,0.29,16
UNIFORM_BOOLEAN_19,2.14,15,1.9,20,0.3,10
BOOLC_27,2.2,14,2.02,32,0.65,9
MCA_15,107.0,3432,34.83,2886,0.68,1991
MCA_40,3.42,120,1.88,120,0.31,120
UNIFORM_BOOLEAN_25,2.05,4,1.79,4,0.26,4
UNIFORM_ALL_18,9.72,403,3.4,304,0.42,217
UNIFORM_ALL_26,3.96,253,2.29,188,0.31,107
UNIFORM_BOOLEAN_27,2.08,12,1.85,17,0.33,8
UNIFORM_BOOLEAN_21,2.11,12,1.81,9,0.29,8
MCA_33,2.89,205,1.92,205,0.29,205
UNIFORM_ALL_49,8.24,385,3.27,286,0.44,217
MCA_11,38.59,2495,9.41,1989,0.52,1940
MCA_44,83.25,4121,21.02,3739,0.53,2451
MCA_12,64.81,2965,20.48,2591,0.62,1613
MCA_47,4.4,391,2.26,378,0.41,378
NUMC_46,1.97,2,,,0.56,2
UNIFORM_BOOLEAN_22,2.1,12,1.83,21,0.31,8
UNIFORM_ALL_21,3.47,301,2.12,237,0.32,156
UNIFORM_ALL_8,7.57,936,3.31,648,0.38,378
UNIFORM_BOOLEAN_26,1.99,13,1.89,18,0.27,8
UNIFORM_BOOLEAN_20,2.08,10,1.87,11,0.28,6
MCA_34,31.41,2442,9.6,1875,0.52,1680
MCA_16,2.04,9,1.88,7,0.28,4
MCA_43,69.58,3057,15.57,2672,0.58,1883
UNIFORM_BOOLEAN_5,2.05,14,1.85,11,0.32,10
UNIFORM_ALL_6,3.3,260,2.16,203,0.34,121
MCA_6,132.88,4193,35.3,3379,0.66,2204
UNIFORM_BOOLEAN_1,2.08,9,1.8,7,0.26,4
UNIFORM_BOOLEAN_2,2.1,16,1.92,14,0.31,10
UNIFORM_ALL_1,107.54,1672,22.53,1376,0.7,725
MCA_1,2.03,4,1.92,4,0.27,4
UNIFORM_BOOLEAN_6,2.11,15,1.88,16,0.31,10
UNIFORM_ALL_29,22.23,616,5.97,465,0.5,312
UNIFORM_ALL_17,2.09,48,1.79,38,0.29,25
UNIFORM_ALL_42,2.69,256,1.96,256,0.29,256
UNIFORM_BOOLEAN_41,2.13,14,1.92,11,0.26,8
UNIFORM_BOOLEAN_14,2.21,15,1.82,15,0.31,10
MCA_24,99.44,2642,33.2,2786,0.67,2073
UNIFORM_ALL_2,20.66,784,5.94,596,0.47,349
MCA_20,35.36,2442,11.03,2155,0.49,1680
MCA_9,206.87,4932,60.53,4348,0.7,2352
MCAC_26,37.32,2215,9.66,2088,130.95,2072
UNIFORM_BOOLEAN_16,2.1,13,1.82,18,0.31,8
UNIFORM_BOOLEAN_43,2.09,16,1.88,14,0.3,10
UNIFORM_BOOLEAN_45,2.17,11,1.92,14,0.31,6
UNIFORM_BOOLEAN_10,2.23,16,1.82,15,0.29,10
UNIFORM_ALL_10,2.15,17,1.75,19,0.29,9
UNIFORM_ALL_45,42.96,1440,10.88,1146,0.57,620
UNIFORM_BOOLEAN_49,2.12,18,1.9,15,0.32,12
UNIFORM_BOOLEAN_46,2.12,14,1.87,11,0.27,10
UNIFORM_BOOLEAN_13,2.11,16,1.95,27,0.32,10
MCA_23,8.72,951,3.31,924,0.38,924
NUMC_22,5.04,510,,,0.78,506
UNIFORM_ALL_5,4.01,291,2.32,230,0.34,140
MCA_27,6.86,705,2.43,705,0.33,705
UNIFORM_ALL_48,2.28,50,1.88,40,0.29,25
UNIFORM_BOOLEAN_42,2.21,17,1.89,18,0.3,10
UNIFORM_BOOLEAN_17,2.03,4,1.93,4,0.26,4
UNIFORM_BOOLEAN_11,2.07,15,1.9,12,0.29,10
UNIFORM_BOOLEAN_44,2.09,13,1.91,15,0.29,8
MCA_13,75.15,2910,22.47,2296,0.65,1921
MCA_46,15.55,1138,6.7,1051,0.5,920
UNIFORM_ALL_31,2.16,15,1.91,19,0.33,10
UNIFORM_BOOLEAN_39,2.12,17,1.99,16,0.33,10
UNIFORM_ALL_35,117.4,1476,24.44,1250,0.55,361
UNIFORM_BOOLEAN_36,2.19,17,1.9,18,0.31,12
BOOLC_37,1.98,2,1.9,2,0.83,2
MCA_14,21.16,1681,6.5,1592,0.44,1540
MCA_41,87.85,3007,30.81,2472,0.63,1817
UNIFORM_ALL_36,7.0,604,3.11,405,0.36,169
UNIFORM_ALL_32,3.75,301,2.14,230,0.36,121
NUMC_5,2.1,16,,,0.52,8
UNIFORM_BOOLEAN_31,2.1,14,1.78,14,0.3,8
MCA_45,2.06,11,1.84,14,0.29,6
MCA_10,45.44,2556,11.6,2288,0.56,1850
MCA_32,23.74,1757,6.69,1686,0.46,1628
MCA_36,40.53,2446,13.37,2162,0.52,1776
BOOLC_49,2.06,8,1.88,5,0.58,5
NUMC_37,149.89,4320,,,1.42,2125
UNIFORM_ALL_3,7.2,458,2.9,325,0.36,121
UNIFORM_BOOLEAN_0,2.03,13,2.02,12,0.29,8
MCA_42,22.72,1219,8.18,1075,0.52,1047
MCA_17,6.43,629,3.18,509,0.41,482
UNIFORM_ALL_38,4.56,600,2.46,497,0.33,361
MCA_35,66.79,3140,18.8,2705,0.65,2165
NUMC_38,1.96,3,,,0.52,3
NUMC_30,6.18,1271,,,0.83,1269
MCA_31,6.28,543,2.25,539,0.32,539
UNIFORM_ALL_4,9.69,639,3.86,504,0.38,310
UNIFORM_BOOLEAN_7,1.93,12,1.95,13,0.28,8
UNIFORM_ALL_27,16.91,1137,5.41,829,0.49,450
UNIFORM_BOOLEAN_24,2.11,17,1.87,15,0.31,12
UNIFORM_ALL_23,28.57,1078,7.98,844,0.43,289
BOOLC_39,2.13,14,1.89,29,0.54,8
UNIFORM_ALL_20,67.06,1491,16.17,1252,0.7,672
UNIFORM_BOOLEAN_23,2.16,16,1.85,12,0.33,12
UNIFORM_ALL_24,22.82,873,6.55,668,0.49,381
UNIFORM_BOOLEAN_28,2.14,9,1.89,10,0.28,6
MCA_8,2.09,20,1.84,22,0.29,20
NUMC_47,2.59,70,,,0.59,70
UNIFORM_ALL_9,5.53,242,2.57,183,0.37,136
MCAC_12,3.01,81,1.94,80,0.53,77
UNIFORM_ALL_19,4.17,145,2.27,109,0.34,79
BOOLC_29,2.21,11,1.98,16,0.73,6
UNIFORM_BOOLEAN_3,2.22,16,1.9,12,0.28,10
MCA_0,2.83,115,1.96,115,0.3,115
UNIFORM_BOOLEAN_4,2.09,14,1.85,10,0.31,8
MCA_7,7.2,777,3.58,707,0.38,572
UNIFORM_BOOLEAN_9,2.08,8,1.97,7,0.28,4
UNIFORM_BOOLEAN_18,2.06,12,1.8,13,0.29,8
UNIFORM_ALL_14,4.34,456,2.37,329,0.33,169
UNIFORM_ALL_41,2.73,32,1.97,28,0.35,24
UNIFORM_ALL_13,2.5,86,1.92,64,0.31,48
UNIFORM_ALL_46,2.27,17,1.92,15,0.33,12
UNIFORM_BOOLEAN_29,2.08,8,1.89,6,0.29,4
UNIFORM_ALL_25,2.29,23,1.93,21,0.3,15
UNIFORM_ALL_22,82.21,1435,18.91,1195,0.51,361
UNIFORM_ALL_28,8.38,322,3.12,252,0.4,164
NUMC_24,198.08,16533,,,1.14,10670
MCAC_19,3.83,345,2.27,345,0.93,345
UNIFORM_ALL_37,2.64,225,1.89,225,0.33,225
UNIFORM_ALL_30,6.26,427,2.83,317,0.35,121
MCA_2,3.0,94,1.93,94,0.28,94
MCA_28,18.69,1413,4.91,1427,0.42,1300
MCA_5,178.4,4562,47.42,3841,0.67,2028
MCA_18,2.27,46,1.89,46,0.25,46
