ModelName,TimeKali,SizeKali,TimePMedici,SizePMedici,TimeActs,SizeActs
BOOLC_31,2.18,5,1.95,10,1.27,5
UNIFORM_BOOLEAN_33,2.08,14,1.88,13,0.29,10
UNIFORM_BOOLEAN_35,2.11,12,1.93,17,0.31,10
UNIFORM_ALL_39,22.06,891,9.5,740,0.54,454
MCA_21,71.68,3027,30.4,2340,0.63,1559
NUMC_3,21.64,2174,,,0.84,1842
UNIFORM_BOOLEAN_37,2.11,14,1.83,16,0.32,12
UNIFORM_ALL_34,2.36,51,1.93,39,0.35,33
MCA_25,38.65,2725,10.42,2288,0.49,1961
UNIFORM_BOOLEAN_38,2.13,12,1.91,13,0.29,10
BOOLC_35,2.05,9,1.92,18,0.61,6
UNIFORM_BOOLEAN_8,1.98,4,1.79,4,0.28,4
BOOLC_36,2.18,27,2.09,37,0.73,10
UNIFORM_BOOLEAN_32,2.05,6,1.72,6,0.28,4
UNIFORM_BOOLEAN_34,2.1,14,1.88,14,0.32,10
MCA_26,139.82,4669,59.51,4003,0.71,2243
MCAC_48,98.67,1634,12.2,2044,4.89,1636
UNIFORM_BOOLEAN_30,2.12,12,1.94,13,0.31,10
UNIFORM_ALL_33,11.26,739,4.92,562,0.45,329
MCA_22,2.34,120,1.88,120,0.28,120
BOOLC_32,2.12,12,1.85,24,0.8,9
UNIFORM_BOOLEAN_15,2.08,12,1.81,21,0.36,10
UNIFORM_BOOLEAN_40,2.0,9,1.84,11,0.28,6
UNIFORM_ALL_43,24.22,837,9.15,649,0.56,413
UNIFORM_ALL_16,2.17,15,1.84,17,0.32,12
BOOLC_6,2.22,13,2.02,26,1.11,13
BOOLC_46,2.16,13,1.94,22,0.64,8
BOOLC_13,2.08,7,1.87,8,0.99,7
MCA_30,1.94,12,1.89,12,0.25,12
UNIFORM_ALL_7,2.88,56,2.06,50,0.33,41
BOOLC_2,2.14,3,1.9,31,0.93,10
MCAC_9,29.09,2229,8.66,2308,1.05,2200
UNIFORM_ALL_47,21.62,939,8.3,688,0.5,413
UNIFORM_ALL_12,2.13,14,2.0,20,0.31,12
MCAC_30,140.53,3770,60.17,4436,0.93,2284
UNIFORM_BOOLEAN_12,2.03,13,1.88,17,0.32,10
UNIFORM_BOOLEAN_47,2.04,11,1.92,15,0.31,8
UNIFORM_BOOLEAN_48,2.06,12,1.89,20,0.31,10
UNIFORM_ALL_44,3.34,130,1.95,102,0.36,78
UNIFORM_ALL_11,5.52,453,2.94,319,0.35,121
BOOLC_1,2.12,16,1.92,35,0.61,10
MCA_37,23.16,1697,10.66,1352,0.56,982
UNIFORM_ALL_0,7.69,413,3.65,309,0.42,219
BOOLC_41,2.2,2,2.04,8,0.8,6
BOOLC_14,2.18,6,1.98,23,0.65,6
MCAC_20,2.27,2,1.96,4,1.01,4
BOOLC_5,2.2,1,2.01,1,1.33,1
UNIFORM_ALL_40,28.68,1168,11.3,891,0.45,289
MCAC_37,3.0,6,2.1,7,1.98,6
UNIFORM_ALL_15,1.96,16,1.89,16,0.29,16
UNIFORM_BOOLEAN_19,2.06,12,1.9,20,0.3,10
BOOLC_27,2.1,14,2.02,32,0.65,9
MCAC_13,3.73,19,4.49,468,0.72,348
NUMC_18,2.18,7,,,0.76,52
NUMC_14,3.41,628,,,0.62,562
MCA_15,81.21,3592,34.83,2886,0.68,1991
MCA_40,3.23,121,1.88,120,0.31,120
UNIFORM_BOOLEAN_25,1.96,4,1.79,4,0.26,4
UNIFORM_ALL_18,7.22,399,3.4,304,0.42,217
UNIFORM_ALL_26,3.69,247,2.29,188,0.31,107
UNIFORM_BOOLEAN_27,2.02,9,1.85,17,0.33,8
UNIFORM_BOOLEAN_21,1.99,10,1.81,9,0.29,8
MCA_33,2.81,205,1.92,205,0.29,205
UNIFORM_ALL_49,6.29,395,3.27,286,0.44,217
NUMC_49,210.49,4592,,,10.67,5537
MCAC_17,2.13,12,1.92,45,0.51,37
BOOLC_23,2.06,1,1.93,1,1.0,1
MCAC_42,38.51,1333,64.15,1886,300.13,0
MCA_11,30.95,2429,9.41,1989,0.52,1940
MCA_44,68.94,4055,21.02,3739,0.53,2451
MCAC_14,6.55,347,5.12,1045,1.09,989
BOOLC_20,2.21,18,2.0,37,0.63,10
MCA_12,49.92,3017,20.48,2591,0.62,1613
BOOLC_38,2.04,15,2.01,29,0.69,8
MCA_47,4.0,389,2.26,378,0.41,378
NUMC_13,2.02,3,,,0.54,12
NUMC_46,1.99,2,,,0.56,2
UNIFORM_BOOLEAN_22,2.03,9,1.83,21,0.31,8
UNIFORM_ALL_21,3.23,313,2.12,237,0.32,156
UNIFORM_ALL_8,6.76,903,3.31,648,0.38,378
UNIFORM_BOOLEAN_26,1.87,10,1.89,18,0.27,8
UNIFORM_BOOLEAN_20,1.98,8,1.87,11,0.28,6
MCA_34,27.07,2410,9.6,1875,0.52,1680
BOOLC_24,2.04,4,1.87,7,0.56,4
MCAC_10,53.58,2323,14.58,1864,1.53,1510
MCAC_45,21.05,736,7.59,1697,1.47,1488
MCA_16,2.07,6,1.88,7,0.28,4
MCA_43,51.81,3095,15.57,2672,0.58,1883
UNIFORM_BOOLEAN_5,2.08,12,1.85,11,0.32,10
MCAC_22,21.34,82,188.52,2495,110.05,1836
UNIFORM_ALL_6,2.85,244,2.16,203,0.34,121
BOOLC_19,2.41,36,2.07,38,2.92,16
MCA_6,92.52,4143,35.3,3379,0.66,2204
BOOLC_48,2.19,7,2.0,33,0.86,10
UNIFORM_BOOLEAN_1,2.03,5,1.8,7,0.26,4
MCAC_29,15.33,72,43.36,2172,130.13,1891
UNIFORM_BOOLEAN_2,2.08,14,1.92,14,0.31,10
MCAC_32,4.89,14,85.48,283,300.15,0
UNIFORM_ALL_1,59.95,1705,22.53,1376,0.7,725
MCA_1,1.97,4,1.92,4,0.27,4
BOOLC_28,2.22,22,2.0,36,0.68,10
UNIFORM_BOOLEAN_6,2.07,13,1.88,16,0.31,10
UNIFORM_ALL_29,14.54,634,5.97,465,0.5,312
UNIFORM_ALL_17,2.21,47,1.79,38,0.29,25
UNIFORM_ALL_42,2.54,256,1.96,256,0.29,256
MCAC_39,2.29,4,2.1,10,0.79,7
UNIFORM_BOOLEAN_41,2.02,11,1.92,11,0.26,8
UNIFORM_BOOLEAN_14,2.13,12,1.82,15,0.31,10
NUMC_25,175.95,4230,,,1.06,4950
BOOLC_7,2.18,9,2.04,35,0.88,9
MCA_24,66.66,2643,33.2,2786,0.67,2073
BOOLC_16,2.2,2,2.1,8,1.61,7
BOOLC_43,2.28,36,2.05,36,9.39,11
UNIFORM_ALL_2,13.86,794,5.94,596,0.47,349
MCA_20,29.26,2374,11.03,2155,0.49,1680
MCA_9,154.02,5112,60.53,4348,0.7,2352
