ToolName;ModelName;Strength;TimeSeconds;Size;ErrorType;;;;
acts;BOOLC_31;2;1.27;5;;;;;
acts;UNIFORM_BOOLEAN_33;2;0.29;10;;;;;
acts;UNIFORM_BOOLEAN_35;2;0.31;10;;;;;
acts;UNIFORM_ALL_39;2;0.54;454;;;;;
acts;MCA_21;2;0.63;1559;;;;;
acts;NUMC_3;2;0.84;1842;;;;;
acts;UNIFORM_BOOLEAN_37;2;0.32;12;;;;;
acts;UNIFORM_ALL_34;2;0.35;33;;;;;
acts;MCA_25;2;0.49;1961;;;;;
acts;UNIFORM_BOOLEAN_38;2;0.29;10;;;;;
acts;BOOLC_35;2;0.61;6;;;;;
acts;UNIFORM_BOOLEAN_8;2;0.28;4;;;;;
acts;BOOLC_36;2;0.73;10;;;;;
acts;UNIFORM_BOOLEAN_32;2;0.28;4;;;;;
acts;UNIFORM_BOOLEAN_34;2;0.32;10;;;;;
acts;MCA_26;2;0.71;2243;;;;;
acts;MCAC_48;2;4.89;1636;;;;;
acts;UNIFORM_BOOLEAN_30;2;0.31;10;;;;;
acts;NUMC_4;2;7.3;7232;;;;;
acts;UNIFORM_ALL_33;2;0.45;329;;;;;
acts;MCA_22;2;0.28;120;;;;;
acts;BOOLC_32;2;0.8;9;;;;;
acts;UNIFORM_BOOLEAN_15;2;0.36;10;;;;;
acts;UNIFORM_BOOLEAN_40;2;0.28;6;;;;;
acts;MCAC_38;2;300.14;0;Timeout;;;;
acts;UNIFORM_ALL_43;2;0.56;413;;;;;
acts;UNIFORM_ALL_16;2;0.32;12;;;;;
acts;BOOLC_6;2;1.11;13;;;;;
acts;BOOLC_46;2;0.64;8;;;;;
acts;MCAC_27;2;1.93;210;;;;;
acts;BOOLC_13;2;0.99;7;;;;;
acts;MCA_30;2;0.25;12;;;;;
acts;UNIFORM_ALL_7;2;0.33;41;;;;;
acts;BOOLC_2;2;0.93;10;;;;;
acts;MCAC_9;2;1.05;2200;;;;;
acts;UNIFORM_ALL_47;2;0.5;413;;;;;
acts;UNIFORM_ALL_12;2;0.31;12;;;;;
acts;MCAC_30;2;0.93;2284;;;;;
acts;UNIFORM_BOOLEAN_12;2;0.32;10;;;;;
acts;UNIFORM_BOOLEAN_47;2;0.31;8;;;;;
acts;UNIFORM_BOOLEAN_48;2;0.31;10;;;;;
acts;UNIFORM_ALL_44;2;0.36;78;;;;;
acts;UNIFORM_ALL_11;2;0.35;121;;;;;
acts;BOOLC_1;2;0.61;10;;;;;
acts;MCA_37;2;0.56;982;;;;;
acts;UNIFORM_ALL_0;2;0.42;219;;;;;
acts;BOOLC_41;2;0.8;6;;;;;
acts;BOOLC_14;2;0.65;6;;;;;
acts;MCAC_20;2;1.01;4;;;;;
acts;BOOLC_5;2;1.33;1;;;;;
acts;UNIFORM_ALL_40;2;0.45;289;;;;;
acts;MCAC_37;2;1.98;6;;;;;
acts;UNIFORM_ALL_15;2;0.29;16;;;;;
acts;UNIFORM_BOOLEAN_19;2;0.3;10;;;;;
acts;BOOLC_27;2;0.65;9;;;;;
acts;MCAC_13;2;0.72;348;;;;;
acts;MCAC_46;2;2.1;1450;;;;;
acts;NUMC_18;2;0.76;52;;;;;
acts;NUMC_14;2;0.62;562;;;;;
acts;NUMC_41;2;22.1;173;;;;;
acts;MCA_15;2;0.68;1991;;;;;
acts;MCA_40;2;0.31;120;;;;;
acts;UNIFORM_BOOLEAN_25;2;0.26;4;;;;;
acts;UNIFORM_ALL_18;2;0.42;217;;;;;
acts;UNIFORM_ALL_26;2;0.31;107;;;;;
acts;UNIFORM_BOOLEAN_27;2;0.33;8;;;;;
acts;UNIFORM_BOOLEAN_21;2;0.29;8;;;;;
acts;MCA_33;2;0.29;205;;;;;
acts;UNIFORM_ALL_49;2;0.44;217;;;;;
acts;NUMC_49;2;10.67;5537;;;;;
acts;MCAC_17;2;0.51;37;;;;;
acts;BOOLC_23;2;1.0;1;;;;;
acts;MCAC_42;2;300.13;0;Timeout;;;;
acts;MCA_11;2;0.52;1940;;;;;
acts;MCA_44;2;0.53;2451;;;;;
acts;MCAC_14;2;1.09;989;;;;;
acts;BOOLC_20;2;0.63;10;;;;;
acts;MCAC_41;2;7.48;2397;;;;;
acts;MCA_12;2;0.62;1613;;;;;
acts;BOOLC_38;2;0.69;8;;;;;
acts;MCA_47;2;0.41;378;;;;;
acts;NUMC_13;2;0.54;12;;;;;
acts;NUMC_46;2;0.56;2;;;;;
acts;UNIFORM_BOOLEAN_22;2;0.31;8;;;;;
acts;UNIFORM_ALL_21;2;0.32;156;;;;;
