-----TEST SUITE-----
Par0;Par1;Par2;Par3;Par4;Par5
PAR0_0;false;PAR2_38;PAR3_11;true;true
PAR0_1;false;PAR2_38;PAR3_11;true;true
PAR0_2;false;PAR2_38;PAR3_11;true;true
PAR0_4;false;PAR2_38;PAR3_11;true;true
PAR0_5;false;PAR2_38;PAR3_11;true;true
PAR0_6;false;PAR2_38;PAR3_11;true;true
PAR0_8;false;PAR2_38;PAR3_11;true;true
PAR0_9;false;PAR2_38;PAR3_11;true;true
PAR0_11;false;PAR2_38;PAR3_11;true;true
PAR0_13;false;PAR2_38;PAR3_11;true;true
PAR0_14;false;PAR2_38;PAR3_11;true;true
PAR0_15;false;PAR2_38;PAR3_11;true;true
PAR0_17;false;PAR2_38;PAR3_6;true;false
PAR0_18;false;PAR2_38;PAR3_11;true;true
PAR0_16;false;PAR2_38;PAR3_11;true;true
PAR0_20;false;PAR2_38;PAR3_11;true;true
PAR0_21;false;PAR2_38;PAR3_11;true;true
PAR0_19;false;PAR2_38;PAR3_11;true;true
PAR0_22;false;PAR2_38;PAR3_11;true;true
PAR0_23;false;PAR2_38;PAR3_11;true;true
PAR0_27;false;PAR2_38;PAR3_11;true;true
PAR0_25;false;PAR2_38;PAR3_11;true;true
PAR0_22;true;PAR2_1;PAR3_11;false;true
PAR0_26;false;PAR2_38;PAR3_11;true;true
PAR0_24;false;PAR2_38;PAR3_11;true;true
PAR0_28;false;PAR2_38;PAR3_11;true;true
PAR0_29;false;PAR2_38;PAR3_11;true;true
PAR0_22;true;PAR2_4;PAR3_11;true;true
PAR0_22;true;PAR2_5;PAR3_11;false;true
PAR0_22;true;PAR2_0;PAR3_11;false;true
PAR0_22;true;PAR2_2;PAR3_11;false;true
PAR0_22;true;PAR2_3;PAR3_11;false;true
PAR0_22;true;PAR2_6;PAR3_11;false;true
PAR0_22;true;PAR2_8;PAR3_11;false;true
PAR0_22;true;PAR2_9;PAR3_11;false;true
PAR0_22;true;PAR2_10;PAR3_11;false;true
PAR0_22;true;PAR2_11;PAR3_11;false;true
PAR0_22;true;PAR2_12;PAR3_11;false;true
PAR0_22;true;PAR2_13;PAR3_11;false;true
PAR0_22;true;PAR2_7;PAR3_11;false;true
PAR0_22;true;PAR2_14;PAR3_11;false;true
PAR0_22;true;PAR2_15;PAR3_11;false;true
PAR0_22;true;PAR2_16;PAR3_11;false;true
PAR0_22;true;PAR2_24;PAR3_11;false;true
PAR0_22;true;PAR2_18;PAR3_11;false;true
PAR0_22;true;PAR2_19;PAR3_11;false;true
PAR0_22;true;PAR2_20;PAR3_11;false;true
PAR0_22;true;PAR2_21;PAR3_11;false;true
PAR0_22;true;PAR2_22;PAR3_11;false;true
PAR0_22;true;PAR2_23;PAR3_11;false;true
PAR0_22;true;PAR2_31;PAR3_11;false;true
PAR0_22;true;PAR2_26;PAR3_11;false;true
PAR0_22;true;PAR2_27;PAR3_11;false;true
PAR0_22;true;PAR2_28;PAR3_11;false;true
PAR0_22;true;PAR2_29;PAR3_11;false;true
PAR0_22;true;PAR2_30;PAR3_11;false;true
PAR0_22;true;PAR2_32;PAR3_11;false;true
PAR0_22;true;PAR2_25;PAR3_11;false;true
PAR0_22;true;PAR2_40;PAR3_11;false;true
PAR0_22;true;PAR2_34;PAR3_11;false;true
PAR0_22;true;PAR2_35;PAR3_11;false;true
PAR0_22;true;PAR2_43;PAR3_11;false;true
PAR0_22;true;PAR2_37;PAR3_11;false;true
PAR0_22;true;PAR2_38;PAR3_11;false;true
PAR0_22;true;PAR2_41;PAR3_11;false;true
PAR0_22;true;PAR2_42;PAR3_11;false;true
PAR0_22;true;PAR2_36;PAR3_11;false;true
PAR0_22;true;PAR2_39;PAR3_11;false;true
PAR0_22;true;PAR2_33;PAR3_11;false;true
PAR0_22;true;PAR2_0;PAR3_11;true;true
PAR0_22;true;PAR2_3;PAR3_11;true;true
PAR0_22;true;PAR2_8;PAR3_11;true;true
PAR0_22;true;PAR2_9;PAR3_11;true;true
PAR0_22;true;PAR2_10;PAR3_11;true;true
PAR0_22;true;PAR2_11;PAR3_11;true;true
PAR0_22;true;PAR2_16;PAR3_11;true;true
PAR0_22;true;PAR2_27;PAR3_11;true;true
PAR0_22;true;PAR2_29;PAR3_11;true;true
PAR0_22;true;PAR2_30;PAR3_11;true;true
PAR0_22;true;PAR2_32;PAR3_11;true;true
PAR0_22;true;PAR2_35;PAR3_11;true;true
PAR0_22;true;PAR2_37;PAR3_11;true;true
PAR0_22;true;PAR2_41;PAR3_11;true;true
PAR0_22;true;PAR2_42;PAR3_11;true;true
PAR0_22;true;PAR2_2;PAR3_11;true;true
PAR0_22;true;PAR2_4;PAR3_11;false;true
PAR0_22;true;PAR2_1;PAR3_11;true;true
PAR0_22;true;PAR2_5;PAR3_11;true;true
PAR0_22;true;PAR2_6;PAR3_11;true;true
PAR0_22;true;PAR2_12;PAR3_11;true;true
PAR0_22;true;PAR2_14;PAR3_11;true;true
PAR0_22;true;PAR2_13;PAR3_11;true;true
PAR0_22;true;PAR2_18;PAR3_11;true;true
PAR0_22;true;PAR2_19;PAR3_11;true;true
PAR0_22;true;PAR2_7;PAR3_11;true;true
PAR0_22;true;PAR2_15;PAR3_11;true;true
PAR0_22;true;PAR2_22;PAR3_11;true;true
PAR0_22;true;PAR2_21;PAR3_11;true;true
PAR0_22;true;PAR2_23;PAR3_11;true;true
PAR0_22;true;PAR2_26;PAR3_11;true;true
PAR0_22;true;PAR2_20;PAR3_11;true;true
PAR0_22;true;PAR2_25;PAR3_11;true;true
PAR0_22;true;PAR2_24;PAR3_11;true;true
PAR0_22;true;PAR2_33;PAR3_11;true;true
PAR0_22;true;PAR2_28;PAR3_11;true;true
PAR0_22;true;PAR2_36;PAR3_11;true;true
PAR0_22;true;PAR2_34;PAR3_11;true;true
PAR0_22;true;PAR2_31;PAR3_11;true;true
PAR0_22;true;PAR2_40;PAR3_11;true;true
PAR0_22;true;PAR2_43;PAR3_11;true;true
