FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime
benchmark1,2,0,0,109,75.0
benchmark1,2,10,10,95,32.0
benchmark1,2,20,20,91,17.0
benchmark1,2,30,30,86,11.0
benchmark1,2,40,40,91,14.0
benchmark1,2,50,50,94,10.0
benchmark1,2,60,60,97,10.0
benchmark1,2,70,70,101,9.0
benchmark1,2,80,80,109,10.0
benchmark1,2,90,89,111,10.0
benchmark1,2,100,100,123,8.0
benchmark1,2,110,109,127,10.0
benchmark1,2,120,120,135,10.0
benchmark1,2,130,130,145,10.0
benchmark1,2,140,138,148,10.0
benchmark1,2,150,148,158,19.0
benchmark1,2,160,159,167,9.0
benchmark1,2,170,168,177,8.0
benchmark1,2,180,179,188,9.0
benchmark1,2,190,188,195,9.0
UNIFORM_ALL_0,2,0,0,23,3.0
UNIFORM_ALL_0,2,10,10,18,3.0
UNIFORM_ALL_0,2,20,20,25,2.0
UNIFORM_ALL_0,2,30,30,32,4.0
UNIFORM_ALL_0,2,40,40,41,4.0
UNIFORM_ALL_0,2,50,49,49,4.0
UNIFORM_ALL_0,2,60,59,59,5.0
UNIFORM_ALL_0,2,70,70,70,5.0
UNIFORM_ALL_0,2,80,78,78,3.0
UNIFORM_ALL_0,2,90,89,89,4.0
UNIFORM_ALL_0,2,100,97,97,4.0
UNIFORM_ALL_0,2,110,109,109,5.0
UNIFORM_ALL_0,2,120,120,120,5.0
UNIFORM_ALL_0,2,130,129,129,6.0
UNIFORM_ALL_0,2,140,134,134,5.0
UNIFORM_ALL_0,2,150,146,146,7.0
UNIFORM_ALL_0,2,160,155,155,5.0
UNIFORM_ALL_0,2,170,164,164,6.0
UNIFORM_ALL_0,2,180,170,170,8.0
UNIFORM_ALL_0,2,190,184,184,6.0
UNIFORM_ALL_1,2,0,0,81,24.0
UNIFORM_ALL_1,2,10,10,29,12.0
UNIFORM_ALL_1,2,20,20,28,9.0
UNIFORM_ALL_1,2,30,30,34,8.0
UNIFORM_ALL_1,2,40,40,42,10.0
UNIFORM_ALL_1,2,50,50,51,11.0
UNIFORM_ALL_1,2,60,60,61,11.0
UNIFORM_ALL_1,2,70,70,70,12.0
UNIFORM_ALL_1,2,80,80,80,17.0
UNIFORM_ALL_1,2,90,90,90,13.0
UNIFORM_ALL_1,2,100,100,100,17.0
UNIFORM_ALL_1,2,110,110,110,20.0
UNIFORM_ALL_1,2,120,120,120,21.0
UNIFORM_ALL_1,2,130,130,130,22.0
UNIFORM_ALL_1,2,140,140,140,22.0
UNIFORM_ALL_1,2,150,150,150,29.0
UNIFORM_ALL_1,2,160,160,160,20.0
UNIFORM_ALL_1,2,170,170,170,22.0
UNIFORM_ALL_1,2,180,180,180,20.0
UNIFORM_ALL_1,2,190,190,190,24.0
UNIFORM_ALL_11,2,0,0,81,18.0
UNIFORM_ALL_11,2,10,10,28,9.0
UNIFORM_ALL_11,2,20,20,30,10.0
UNIFORM_ALL_11,2,30,30,35,7.0
UNIFORM_ALL_11,2,40,40,43,9.0
UNIFORM_ALL_11,2,50,50,51,9.0
UNIFORM_ALL_11,2,60,60,61,9.0
UNIFORM_ALL_11,2,70,70,70,10.0
UNIFORM_ALL_11,2,80,80,80,11.0
UNIFORM_ALL_11,2,90,90,90,12.0
UNIFORM_ALL_11,2,100,100,100,12.0
UNIFORM_ALL_11,2,110,110,110,17.0
UNIFORM_ALL_11,2,120,120,120,15.0
UNIFORM_ALL_11,2,130,130,130,16.0
UNIFORM_ALL_11,2,140,140,140,16.0
UNIFORM_ALL_11,2,150,150,150,18.0
UNIFORM_ALL_11,2,160,160,160,19.0
UNIFORM_ALL_11,2,170,170,170,20.0
UNIFORM_ALL_11,2,180,180,180,27.0
UNIFORM_ALL_11,2,190,190,190,21.0
UNIFORM_ALL_12,2,0,0,122,18.0
UNIFORM_ALL_12,2,10,10,66,9.0
UNIFORM_ALL_12,2,20,20,63,11.0
