FileName,Strength,SeedSize,TSSize,TSTime
benchmark1,4,10,4002,3326.0
benchmark1,4,20,3941,2937.0
benchmark1,4,30,3894,3290.0
benchmark1,4,40,3889,3167.0
benchmark1,4,50,3861,3258.0
benchmark1,4,60,3860,3062.0
benchmark1,4,70,3872,2743.0
benchmark1,4,80,3792,2802.0
benchmark1,4,90,3844,2805.0
benchmark1,4,100,3759,2707.0
benchmark1,4,110,3814,2769.0
benchmark1,4,120,3768,2490.0
benchmark1,4,130,3782,2953.0
benchmark1,4,140,3783,3098.0
benchmark1,4,150,3813,3022.0
benchmark1,4,160,3788,3040.0
benchmark1,4,170,3748,2418.0
benchmark1,4,180,3810,2720.0
benchmark1,4,190,3807,2681.0
UNIFORM_ALL_0,4,10,219,30.0
UNIFORM_ALL_0,4,20,210,46.0
UNIFORM_ALL_0,4,30,200,42.0
UNIFORM_ALL_0,4,40,195,43.0
UNIFORM_ALL_0,4,50,205,36.0
UNIFORM_ALL_0,4,60,200,44.0
UNIFORM_ALL_0,4,70,199,34.0
UNIFORM_ALL_0,4,80,200,46.0
UNIFORM_ALL_0,4,90,204,42.0
UNIFORM_ALL_0,4,100,209,37.0
UNIFORM_ALL_0,4,110,209,33.0
UNIFORM_ALL_0,4,120,215,36.0
UNIFORM_ALL_0,4,130,208,34.0
UNIFORM_ALL_0,4,140,219,39.0
UNIFORM_ALL_0,4,150,222,37.0
UNIFORM_ALL_0,4,160,222,42.0
UNIFORM_ALL_0,4,170,227,35.0
UNIFORM_ALL_0,4,180,232,34.0
UNIFORM_ALL_0,4,190,242,34.0
UNIFORM_ALL_1,4,10,711,17547.0
UNIFORM_ALL_1,4,20,574,11449.0
UNIFORM_ALL_1,4,30,568,10734.0
UNIFORM_ALL_1,4,40,511,8900.0
UNIFORM_ALL_1,4,50,505,8696.0
UNIFORM_ALL_1,4,60,504,8321.0
UNIFORM_ALL_1,4,70,502,8374.0
UNIFORM_ALL_1,4,80,493,8175.0
UNIFORM_ALL_1,4,90,489,7920.0
UNIFORM_ALL_1,4,100,487,7855.0
UNIFORM_ALL_1,4,110,489,7865.0
UNIFORM_ALL_1,4,120,492,7922.0
UNIFORM_ALL_1,4,130,489,7651.0
UNIFORM_ALL_1,4,140,486,7688.0
UNIFORM_ALL_1,4,150,490,7644.0
UNIFORM_ALL_1,4,160,492,7739.0
UNIFORM_ALL_1,4,170,489,7444.0
UNIFORM_ALL_1,4,180,487,7459.0
UNIFORM_ALL_1,4,190,497,7424.0
UNIFORM_ALL_10,timeout,10,timeout,timeout
UNIFORM_ALL_10,timeout,20,timeout,timeout
UNIFORM_ALL_10,timeout,30,timeout,timeout
UNIFORM_ALL_10,timeout,40,timeout,timeout
UNIFORM_ALL_10,timeout,50,timeout,timeout
