FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
benchmark1,4,0,0,3903,2572.0,0.0,3.0,12005
benchmark1,4,1,1,3913,3433.0,5.0,3.0,12005
benchmark1,4,2,2,3869,3428.0,5.0,3.0,12005
benchmark1,4,3,3,3902,3106.0,5.0,3.0,12005
benchmark1,4,4,4,3902,3373.0,5.0,3.0,12005
benchmark1,4,5,5,3880,3151.0,5.0,3.0,12005
benchmark1,4,6,6,3913,3449.0,5.0,3.0,12005
benchmark1,4,7,7,3896,3590.0,5.0,3.0,12005
benchmark1,4,8,8,3942,3309.0,5.0,3.0,12005
benchmark1,4,9,9,3877,3511.0,5.0,3.0,12005
benchmark1,4,10,10,3851,3430.0,5.0,3.0,12005
benchmark1,4,11,11,3855,3317.0,5.0,3.0,12005
benchmark1,4,12,12,3897,2964.0,5.0,3.0,12005
benchmark1,4,13,13,3840,3149.0,5.0,3.0,12005
benchmark1,4,14,14,3880,3241.0,5.0,3.0,12005
benchmark1,4,15,15,3858,3515.0,5.0,3.0,12005
benchmark1,4,16,16,3856,3368.0,5.0,3.0,12005
benchmark1,4,17,17,3867,3435.0,5.0,3.0,12005
benchmark1,4,18,18,3853,3180.0,4.0,3.0,12005
benchmark1,4,19,19,3843,2197.0,4.0,3.0,12005
benchmark1,4,20,20,3936,3274.0,4.0,3.0,12005
benchmark1,4,21,21,3949,2980.0,5.0,3.0,12005
benchmark1,4,22,22,3892,3082.0,4.0,3.0,12005
benchmark1,4,23,23,3890,2933.0,4.0,3.0,12005
benchmark1,4,24,24,3833,3133.0,4.0,3.0,12005
benchmark1,4,25,25,3892,3052.0,4.0,3.0,12005
benchmark1,4,26,26,3872,3018.0,5.0,3.0,12005
benchmark1,4,27,27,3847,3230.0,5.0,3.0,12005
benchmark1,4,28,28,3879,2735.0,4.0,3.0,12005
benchmark1,4,29,29,3829,3148.0,5.0,3.0,12005
benchmark1,4,30,30,3862,3102.0,4.0,3.0,12005
benchmark1,4,31,31,3864,3455.0,4.0,3.0,12005
benchmark1,4,32,32,3847,3408.0,5.0,3.0,12005
benchmark1,4,33,33,3888,3251.0,4.0,3.0,12005
benchmark1,4,34,34,3849,3267.0,5.0,3.0,12005
benchmark1,4,35,35,3839,2947.0,5.0,3.0,12005
benchmark1,4,36,36,3847,3347.0,4.0,3.0,12005
benchmark1,4,37,37,3902,3376.0,4.0,3.0,12005
benchmark1,4,38,38,3832,3277.0,4.0,3.0,12005
benchmark1,4,39,38,3855,3229.0,5.0,3.0,12005
benchmark1,4,40,40,3839,2935.0,4.0,3.0,12005
benchmark1,4,41,41,3842,2818.0,4.0,3.0,12005
benchmark1,4,42,42,3910,2874.0,5.0,3.0,12005
benchmark1,4,43,43,3850,3297.0,4.0,3.0,12005
benchmark1,4,44,44,3829,3179.0,5.0,3.0,12005
benchmark1,4,45,45,3844,3372.0,4.0,3.0,12005
benchmark1,4,46,46,3877,3316.0,4.0,3.0,12005
benchmark1,4,47,47,3807,2880.0,4.0,3.0,12005
benchmark1,4,48,48,3790,3174.0,4.0,3.0,12005
benchmark1,4,49,49,3835,2882.0,4.0,3.0,12005
benchmark1,4,50,50,3828,3181.0,4.0,3.0,12005
benchmark1,4,51,51,3811,3182.0,4.0,3.0,12005
benchmark1,4,52,52,3868,3327.0,4.0,3.0,12005
benchmark1,4,53,52,3850,3166.0,4.0,3.0,12005
benchmark1,4,54,54,3792,2857.0,4.0,3.0,12005
benchmark1,4,55,55,3828,3172.0,4.0,3.0,12005
benchmark1,4,56,55,3855,3104.0,5.0,3.0,12005
benchmark1,4,57,57,3791,3103.0,4.0,3.0,12005
benchmark1,4,58,57,3840,3452.0,4.0,3.0,12005
benchmark1,4,59,59,3816,3143.0,4.0,3.0,12005
benchmark1,4,60,60,3850,3613.0,4.0,3.0,12005
benchmark1,4,61,61,3866,3175.0,4.0,3.0,12005
benchmark1,4,62,62,3824,3584.0,4.0,3.0,12005
benchmark1,4,63,62,3810,3090.0,4.0,3.0,12005
benchmark1,4,64,64,3826,3588.0,4.0,3.0,12005
benchmark1,4,65,65,3842,3695.0,4.0,3.0,12005
benchmark1,4,66,66,3850,3203.0,4.0,3.0,12005
benchmark1,4,67,67,3829,3532.0,4.0,3.0,12005
benchmark1,4,68,67,3819,3027.0,4.0,3.0,12005
benchmark1,4,69,69,3827,3555.0,4.0,3.0,12005
benchmark1,4,70,70,3810,3409.0,4.0,3.0,12005
benchmark1,4,71,70,3811,3523.0,4.0,3.0,12005
benchmark1,4,72,72,3803,3606.0,4.0,3.0,12005
benchmark1,4,73,73,3800,3030.0,4.0,3.0,12005
benchmark1,4,74,74,3807,3645.0,4.0,3.0,12005
benchmark1,4,75,74,3826,3276.0,4.0,3.0,12005
benchmark1,4,76,76,3824,3619.0,4.0,3.0,12005
benchmark1,4,77,77,3814,3699.0,4.0,3.0,12005
benchmark1,4,78,77,3774,3743.0,4.0,3.0,12005
benchmark1,4,79,78,3798,3555.0,4.0,3.0,12005
benchmark1,4,80,80,3809,3160.0,4.0,3.0,12005
benchmark1,4,81,81,3825,3602.0,4.0,3.0,12005
benchmark1,4,82,82,3795,3409.0,4.0,3.0,12005
benchmark1,4,83,83,3790,3520.0,4.0,3.0,12005
benchmark1,4,84,84,3823,3547.0,4.0,3.0,12005
benchmark1,4,85,83,3806,3147.0,4.0,3.0,12005
benchmark1,4,86,85,3812,3604.0,4.0,3.0,12005
benchmark1,4,87,86,3795,3093.0,4.0,3.0,12005
benchmark1,4,88,88,3792,3477.0,4.0,3.0,12005
benchmark1,4,89,89,3850,3637.0,4.0,3.0,12005
benchmark1,4,90,90,3794,3545.0,4.0,3.0,12005
benchmark1,4,91,91,3838,3498.0,4.0,3.0,12005
benchmark1,4,92,92,3802,2946.0,4.0,3.0,12005
benchmark1,4,93,93,3778,3095.0,4.0,3.0,12005
benchmark1,4,94,94,3770,2555.0,4.0,3.0,12005
benchmark1,4,95,95,3799,2867.0,4.0,3.0,12005
benchmark1,4,96,96,3786,2949.0,4.0,3.0,12005
benchmark1,4,97,96,3837,2811.0,4.0,3.0,12005
benchmark1,4,98,98,3784,2771.0,4.0,3.0,12005
benchmark1,4,99,98,3814,2557.0,4.0,3.0,12005
benchmark1,4,100,99,3782,3043.0,4.0,3.0,12005
benchmark1,4,101,100,3786,2588.0,4.0,3.0,12005
benchmark1,4,102,102,3821,2820.0,4.0,3.0,12005
benchmark1,4,103,103,3826,2876.0,4.0,3.0,12005
benchmark1,4,104,103,3799,2761.0,4.0,3.0,12005
benchmark1,4,105,104,3796,2791.0,4.0,3.0,12005
benchmark1,4,106,105,3794,1920.0,4.0,3.0,12005
benchmark1,4,107,107,3767,2724.0,4.0,3.0,12005
benchmark1,4,108,108,3790,2593.0,4.0,3.0,12005
benchmark1,4,109,107,3818,2772.0,4.0,3.0,12005
benchmark1,4,110,110,3818,2835.0,4.0,3.0,12005
benchmark1,4,111,111,3815,2869.0,4.0,3.0,12005
benchmark1,4,112,112,3801,2727.0,4.0,3.0,12005
benchmark1,4,113,113,3789,2506.0,4.0,3.0,12005
benchmark1,4,114,114,3802,2755.0,4.0,3.0,12005
benchmark1,4,115,115,3806,2744.0,4.0,3.0,12005
benchmark1,4,116,116,3785,2766.0,4.0,3.0,12005
benchmark1,4,117,117,3821,2843.0,4.0,3.0,12005
benchmark1,4,118,117,3800,2746.0,4.0,3.0,12005
benchmark1,4,119,119,3798,2741.0,4.0,3.0,12005
benchmark1,4,120,119,3832,2522.0,4.0,3.0,12005
benchmark1,4,121,120,3786,2782.0,4.0,3.0,12005
benchmark1,4,122,122,3783,2612.0,4.0,3.0,12005
benchmark1,4,123,122,3779,2729.0,4.0,3.0,12005
benchmark1,4,124,124,3803,2718.0,4.0,3.0,12005
benchmark1,4,125,125,3782,2718.0,4.0,3.0,12005
benchmark1,4,126,126,3784,2754.0,4.0,3.0,12005
benchmark1,4,127,127,3814,2495.0,4.0,3.0,12005
benchmark1,4,128,128,3787,2855.0,4.0,3.0,12005
benchmark1,4,129,129,3778,2651.0,4.0,3.0,12005
benchmark1,4,130,129,3765,2722.0,4.0,3.0,12005
benchmark1,4,131,130,3800,2710.0,4.0,3.0,12005
benchmark1,4,132,132,3781,2796.0,4.0,3.0,12005
benchmark1,4,133,132,3789,2813.0,4.0,3.0,12005
benchmark1,4,134,134,3783,2548.0,4.0,3.0,12005
benchmark1,4,135,135,3794,2760.0,4.0,3.0,12005
benchmark1,4,136,136,3755,2706.0,4.0,3.0,12005
benchmark1,4,137,137,3783,2695.0,4.0,3.0,12005
benchmark1,4,138,137,3787,2876.0,4.0,3.0,12005
benchmark1,4,139,139,3815,2647.0,4.0,3.0,12005
benchmark1,4,140,140,3786,2740.0,4.0,3.0,12005
benchmark1,4,141,140,3766,2411.0,4.0,3.0,12005
benchmark1,4,142,141,3824,2956.0,4.0,3.0,12005
benchmark1,4,143,143,3758,2648.0,4.0,3.0,12005
benchmark1,4,144,144,3755,2702.0,4.0,3.0,12005
benchmark1,4,145,143,3756,2768.0,4.0,3.0,12005
benchmark1,4,146,145,3759,2520.0,4.0,3.0,12005
benchmark1,4,147,147,3803,2715.0,4.0,3.0,12005
benchmark1,4,148,148,3786,2473.0,4.0,3.0,12005
benchmark1,4,149,147,3821,2702.0,4.0,3.0,12005
benchmark1,4,150,150,3775,2401.0,4.0,3.0,12005
benchmark1,4,151,149,3796,2681.0,4.0,3.0,12005
benchmark1,4,152,151,3772,2678.0,4.0,3.0,12005
benchmark1,4,153,152,3796,2458.0,4.0,3.0,12005
benchmark1,4,154,154,3789,2684.0,4.0,3.0,12005
benchmark1,4,155,154,3770,2384.0,4.0,3.0,12005
benchmark1,4,156,156,3814,2730.0,4.0,3.0,12005
benchmark1,4,157,157,3747,2654.0,4.0,3.0,12005
benchmark1,4,158,156,3788,2709.0,4.0,3.0,12005
benchmark1,4,159,158,3794,2679.0,4.0,3.0,12005
benchmark1,4,160,160,3770,2474.0,4.0,3.0,12005
benchmark1,4,161,161,3737,2636.0,4.0,3.0,12005
benchmark1,4,162,162,3773,2397.0,4.0,3.0,12005
benchmark1,4,163,163,3763,2802.0,4.0,3.0,12005
benchmark1,4,164,163,3808,2729.0,4.0,3.0,12005
benchmark1,4,165,165,3780,2686.0,4.0,3.0,12005
benchmark1,4,166,166,3839,2821.0,4.0,3.0,12005
benchmark1,4,167,166,3752,2515.0,4.0,3.0,12005
benchmark1,4,168,165,3770,2682.0,4.0,3.0,12005
benchmark1,4,169,169,3745,2333.0,4.0,3.0,12005
benchmark1,4,170,169,3780,2673.0,4.0,3.0,12005
benchmark1,4,171,170,3801,2705.0,4.0,3.0,12005
benchmark1,4,172,171,3764,2400.0,4.0,3.0,12005
benchmark1,4,173,173,3790,2723.0,4.0,3.0,12005
benchmark1,4,174,174,3766,2521.0,4.0,3.0,12005
benchmark1,4,175,174,3798,2698.0,4.0,3.0,12005
benchmark1,4,176,176,3802,2484.0,4.0,3.0,12005
benchmark1,4,177,175,3787,2727.0,4.0,3.0,12005
benchmark1,4,178,175,3793,2686.0,4.0,3.0,12005
benchmark1,4,179,177,3793,2692.0,4.0,3.0,12005
benchmark1,4,180,178,3786,2726.0,4.0,3.0,12005
benchmark1,4,181,181,3799,2681.0,4.0,3.0,12005
benchmark1,4,182,181,3771,2652.0,4.0,3.0,12005
benchmark1,4,183,182,3772,2419.0,4.0,3.0,12005
benchmark1,4,184,183,3753,2643.0,4.0,3.0,12005
benchmark1,4,185,184,3797,2580.0,4.0,3.0,12005
benchmark1,4,186,186,3773,2655.0,4.0,3.0,12005
benchmark1,4,187,186,3767,2909.0,4.0,3.0,12005
benchmark1,4,188,188,3783,2899.0,4.0,3.0,12005
benchmark1,4,189,188,3734,2639.0,4.0,3.0,12005
benchmark1,4,190,190,3798,2450.0,4.0,3.0,12005
benchmark1,4,191,190,3732,2654.0,4.0,3.0,12005
benchmark1,4,192,191,3785,2785.0,4.0,3.0,12005
benchmark1,4,193,192,3779,3098.0,4.0,3.0,12005
benchmark1,4,194,192,3790,3117.0,4.0,3.0,12005
benchmark1,4,195,195,3763,2788.0,4.0,3.0,12005
benchmark1,4,196,196,3753,2794.0,4.0,3.0,12005
benchmark1,4,197,195,3737,2449.0,4.0,3.0,12005
benchmark1,4,198,198,3751,2716.0,4.0,3.0,12005
benchmark1,4,199,198,3755,2614.0,4.0,3.0,12005
UNIFORM_ALL_0,4,0,0,229,30.0,0.0,12.0,2835
UNIFORM_ALL_0,4,1,1,224,37.0,35.0,12.0,2835
UNIFORM_ALL_0,4,2,2,226,25.0,35.0,12.0,2835
UNIFORM_ALL_0,4,3,3,224,35.0,34.0,12.0,2835
UNIFORM_ALL_0,4,4,4,217,28.0,35.0,12.0,2835
UNIFORM_ALL_0,4,5,5,217,24.0,33.0,12.0,2835
UNIFORM_ALL_0,4,6,6,223,23.0,34.0,12.0,2835
UNIFORM_ALL_0,4,7,7,222,25.0,33.0,12.0,2835
UNIFORM_ALL_0,4,8,8,220,30.0,32.0,12.0,2835
UNIFORM_ALL_0,4,9,9,222,24.0,30.0,12.0,2835
UNIFORM_ALL_0,4,10,10,215,22.0,31.0,12.0,2835
UNIFORM_ALL_0,4,11,11,207,23.0,33.0,12.0,2835
UNIFORM_ALL_0,4,12,12,212,24.0,32.0,12.0,2835
UNIFORM_ALL_0,4,13,13,201,21.0,32.0,12.0,2835
UNIFORM_ALL_0,4,14,14,214,29.0,33.0,11.0,2835
UNIFORM_ALL_0,4,15,15,212,21.0,33.0,11.0,2835
UNIFORM_ALL_0,4,16,16,213,16.0,31.0,11.0,2835
UNIFORM_ALL_0,4,17,17,203,20.0,32.0,12.0,2835
UNIFORM_ALL_0,4,18,18,210,22.0,31.0,11.0,2835
UNIFORM_ALL_0,4,19,19,214,20.0,30.0,11.0,2835
UNIFORM_ALL_0,4,20,20,206,20.0,32.0,11.0,2835
UNIFORM_ALL_0,4,21,21,207,20.0,30.0,11.0,2835
UNIFORM_ALL_0,4,22,22,208,21.0,29.0,11.0,2835
UNIFORM_ALL_0,4,23,23,204,19.0,30.0,11.0,2835
UNIFORM_ALL_0,4,24,23,202,19.0,30.0,11.0,2835
UNIFORM_ALL_0,4,25,25,207,21.0,30.0,11.0,2835
UNIFORM_ALL_0,4,26,26,200,20.0,29.0,11.0,2835
UNIFORM_ALL_0,4,27,27,202,19.0,30.0,11.0,2835
UNIFORM_ALL_0,4,28,28,201,20.0,31.0,11.0,2835
UNIFORM_ALL_0,4,29,29,205,21.0,30.0,11.0,2835
UNIFORM_ALL_0,4,30,29,192,18.0,30.0,12.0,2835
UNIFORM_ALL_0,4,31,31,198,17.0,30.0,11.0,2835
UNIFORM_ALL_0,4,32,32,201,19.0,29.0,11.0,2835
UNIFORM_ALL_0,4,33,33,209,21.0,27.0,10.0,2835
UNIFORM_ALL_0,4,34,34,207,19.0,29.0,10.0,2835
UNIFORM_ALL_0,4,35,35,200,34.0,29.0,10.0,2835
UNIFORM_ALL_0,4,36,36,201,35.0,29.0,10.0,2835
UNIFORM_ALL_0,4,37,37,199,32.0,28.0,10.0,2835
UNIFORM_ALL_0,4,38,38,203,32.0,27.0,10.0,2835
UNIFORM_ALL_0,4,39,38,208,33.0,28.0,10.0,2835
UNIFORM_ALL_0,4,40,39,200,32.0,27.0,10.0,2835
UNIFORM_ALL_0,4,41,41,194,31.0,27.0,11.0,2835
UNIFORM_ALL_0,4,42,42,195,32.0,28.0,10.0,2835
UNIFORM_ALL_0,4,43,43,188,29.0,28.0,11.0,2835
UNIFORM_ALL_0,4,44,43,195,30.0,27.0,10.0,2835
UNIFORM_ALL_0,4,45,45,193,31.0,27.0,10.0,2835
UNIFORM_ALL_0,4,46,46,188,30.0,27.0,11.0,2835
UNIFORM_ALL_0,4,47,46,203,32.0,25.0,10.0,2835
UNIFORM_ALL_0,4,48,47,201,32.0,26.0,10.0,2835
UNIFORM_ALL_0,4,49,49,206,32.0,24.0,10.0,2835
UNIFORM_ALL_0,4,50,50,206,33.0,26.0,9.0,2835
UNIFORM_ALL_0,4,51,51,202,32.0,26.0,9.0,2835
