FileName,Strength,SeedSize,UsedSeedSize,TSSize,TSTime,cRnd,cInc,totTuples
UNIFORM_BOOLEAN_8,3,0,0,20,68.0,0.0,14.0,280
UNIFORM_BOOLEAN_8,3,1,1,18,23.0,35.0,14.0,280
UNIFORM_BOOLEAN_8,3,2,2,16,8.0,33.0,15.0,280
UNIFORM_BOOLEAN_8,3,3,3,18,11.0,32.0,12.0,280
UNIFORM_BOOLEAN_8,3,4,4,16,14.0,31.0,12.0,280
UNIFORM_BOOLEAN_8,3,5,5,17,13.0,30.0,10.0,280
UNIFORM_BOOLEAN_8,3,6,6,17,13.0,26.0,11.0,280
UNIFORM_BOOLEAN_8,3,7,7,16,7.0,25.0,11.0,280
UNIFORM_BOOLEAN_8,3,8,8,16,6.0,21.0,13.0,280
UNIFORM_BOOLEAN_8,3,9,9,18,17.0,21.0,10.0,280
UNIFORM_BOOLEAN_8,3,10,10,19,5.0,22.0,6.0,280
UNIFORM_BOOLEAN_8,3,11,10,18,11.0,22.0,6.0,280
UNIFORM_BOOLEAN_8,3,12,12,20,11.0,19.0,6.0,280
UNIFORM_BOOLEAN_8,3,13,13,20,5.0,17.0,8.0,280
UNIFORM_BOOLEAN_8,3,14,12,21,3.0,18.0,5.0,280
UNIFORM_BOOLEAN_8,3,15,13,19,6.0,18.0,5.0,280
UNIFORM_BOOLEAN_8,3,16,15,20,18.0,17.0,3.0,280
UNIFORM_BOOLEAN_8,3,17,17,23,7.0,14.0,6.0,280
UNIFORM_BOOLEAN_8,3,18,17,22,2.0,15.0,5.0,280
UNIFORM_BOOLEAN_8,3,19,18,21,4.0,14.0,6.0,280
UNIFORM_BOOLEAN_8,3,20,20,23,4.0,12.0,7.0,280
UNIFORM_BOOLEAN_8,3,21,21,23,3.0,12.0,6.0,280
UNIFORM_BOOLEAN_8,3,22,21,26,2.0,12.0,5.0,280
UNIFORM_BOOLEAN_8,3,23,21,26,2.0,12.0,4.0,280
UNIFORM_BOOLEAN_8,3,24,22,25,9.0,11.0,6.0,280
UNIFORM_BOOLEAN_8,3,25,23,26,3.0,11.0,3.0,280
UNIFORM_BOOLEAN_8,3,26,24,26,3.0,11.0,2.0,280
UNIFORM_BOOLEAN_8,3,27,24,26,3.0,11.0,5.0,280
UNIFORM_BOOLEAN_8,3,28,26,28,4.0,10.0,1.0,280
UNIFORM_BOOLEAN_8,3,29,26,27,6.0,10.0,2.0,280
UNIFORM_BOOLEAN_8,3,30,28,31,3.0,9.0,2.0,280
UNIFORM_BOOLEAN_8,3,31,28,30,3.0,9.0,1.0,280
UNIFORM_BOOLEAN_8,3,32,27,29,3.0,10.0,3.0,280
UNIFORM_BOOLEAN_8,3,33,27,28,3.0,10.0,1.0,280
UNIFORM_BOOLEAN_8,3,34,27,31,4.0,9.0,3.0,280
UNIFORM_BOOLEAN_8,3,35,30,31,3.0,9.0,1.0,280
UNIFORM_BOOLEAN_8,3,36,29,30,2.0,9.0,2.0,280
UNIFORM_BOOLEAN_8,3,37,31,31,7.0,9.0,0.0,280
UNIFORM_BOOLEAN_8,3,38,33,33,3.0,8.0,0.0,280
UNIFORM_BOOLEAN_8,3,39,35,35,3.0,8.0,0.0,280
UNIFORM_BOOLEAN_8,3,40,32,34,2.0,8.0,2.0,280
UNIFORM_BOOLEAN_8,3,41,36,37,3.0,7.0,2.0,280
UNIFORM_BOOLEAN_8,3,42,33,33,4.0,8.0,0.0,280
UNIFORM_BOOLEAN_8,3,43,38,39,1.0,7.0,3.0,280
UNIFORM_BOOLEAN_8,3,44,38,38,5.0,7.0,0.0,280
UNIFORM_BOOLEAN_8,3,45,39,41,2.0,7.0,2.0,280
UNIFORM_BOOLEAN_8,3,46,38,39,2.0,7.0,1.0,280
UNIFORM_BOOLEAN_8,3,47,38,39,2.0,7.0,2.0,280
UNIFORM_BOOLEAN_8,3,48,34,34,3.0,8.0,0.0,280
UNIFORM_BOOLEAN_8,3,49,41,41,3.0,6.0,0.0,280
UNIFORM_BOOLEAN_8,3,50,48,48,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,51,39,39,5.0,7.0,0.0,280
UNIFORM_BOOLEAN_8,3,52,47,47,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,53,41,41,2.0,6.0,0.0,280
UNIFORM_BOOLEAN_8,3,54,44,44,1.0,6.0,0.0,280
UNIFORM_BOOLEAN_8,3,55,46,46,2.0,6.0,0.0,280
UNIFORM_BOOLEAN_8,3,56,45,45,1.0,6.0,0.0,280
UNIFORM_BOOLEAN_8,3,57,47,47,5.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,58,47,47,2.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,59,47,47,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,60,53,54,3.0,5.0,1.0,280
UNIFORM_BOOLEAN_8,3,61,49,49,5.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,62,51,51,4.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,63,51,51,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,64,51,51,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,65,50,50,5.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,66,51,51,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,67,51,51,7.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,68,52,52,10.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,69,57,57,4.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,70,51,51,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,71,57,57,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,72,57,57,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,73,53,53,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,74,62,62,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,75,55,55,2.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,76,56,56,3.0,5.0,0.0,280
UNIFORM_BOOLEAN_8,3,77,62,62,4.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,78,64,64,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,79,60,60,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,80,58,58,4.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,81,61,61,7.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,82,63,63,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,83,61,61,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,84,62,62,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,85,67,67,6.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,86,62,62,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,87,61,61,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,88,63,63,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,89,65,65,19.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,90,63,63,4.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,91,67,67,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,92,69,69,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,93,67,67,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,94,60,60,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,95,65,65,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,96,71,71,3.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,97,72,72,5.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,98,71,71,4.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,99,80,80,3.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,100,65,65,5.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,101,69,69,5.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,102,70,70,3.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,103,76,76,4.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,104,72,72,4.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,105,70,70,2.0,4.0,0.0,280
UNIFORM_BOOLEAN_8,3,106,71,71,3.0,3.0,0.0,280
UNIFORM_BOOLEAN_8,3,107,71,71,3.0,3.0,0.0,280
