Par0,Par1,Par2,Par3,Par4,Par5,Par6
PAR0_0,PAR1_1,PAR2_1,PAR3_1,PAR4_0,PAR5_0,PAR6_1
PAR0_2,PAR1_1,PAR2_1,PAR3_2,PAR4_0,PAR5_0,PAR6_0
PAR0_2,PAR1_2,PAR2_0,PAR3_2,PAR4_2,PAR5_0,PAR6_0
PAR0_1,PAR1_1,PAR2_1,PAR3_1,PAR4_0,PAR5_0,PAR6_1
PAR0_2,PAR1_0,PAR2_2,PAR3_0,PAR4_2,PAR5_2,PAR6_0
PAR0_2,PAR1_1,PAR2_1,PAR3_2,PAR4_1,PAR5_1,PAR6_1
PAR0_0,PAR1_0,PAR2_0,PAR3_2,PAR4_0,PAR5_2,PAR6_1
PAR0_2,PAR1_0,PAR2_1,PAR3_2,PAR4_1,PAR5_1,PAR6_1
PAR0_2,PAR1_2,PAR2_2,PAR3_0,PAR4_0,PAR5_2,PAR6_1
PAR0_0,PAR1_0,PAR2_1,PAR3_2,PAR4_0,PAR5_0,PAR6_2
PAR0_0,PAR1_0,PAR2_1,PAR3_2,PAR4_1,PAR5_0,PAR6_2
PAR0_1,PAR1_2,PAR2_1,PAR3_1,PAR4_0,PAR5_0,PAR6_0
PAR0_0,PAR1_1,PAR2_2,PAR3_2,PAR4_1,PAR5_1,PAR6_1
PAR0_0,PAR1_2,PAR2_1,PAR3_2,PAR4_0,PAR5_2,PAR6_2
PAR0_2,PAR1_1,PAR2_1,PAR3_2,PAR4_1,PAR5_1,PAR6_2
PAR0_2,PAR1_1,PAR2_2,PAR3_2,PAR4_1,PAR5_0,PAR6_1
PAR0_2,PAR1_0,PAR2_2,PAR3_2,PAR4_2,PAR5_0,PAR6_0
PAR0_1,PAR1_0,PAR2_0,PAR3_1,PAR4_0,PAR5_1,PAR6_0
PAR0_2,PAR1_2,PAR2_0,PAR3_1,PAR4_1,PAR5_1,PAR6_2
PAR0_0,PAR1_2,PAR2_1,PAR3_1,PAR4_0,PAR5_2,PAR6_1
